			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -1.26 	 3.27 	 12.60 	 -16.75 	 8.28 	 -9.54 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -8.37 	 5.28 	 9.60 	 5.28 	 -13.75 	 0.00 	 5.00 	 0.00 	 -3.00 	 -6.54 	 7.60 	 -6.54 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 69.05 	 4 	 10.00 	 1 	 0 	 0 	 6.36 	 -0.97 	 162.42 	 0 	 0 	 0 
	 1 	 84.00 	 1 	 7.75 	 1 	 1 	 0 	 -6.21 	 -5.47 	 58.09 	 4 	 4 	 4 
	 1 	 99.97 	 3 	 10.00 	 1 	 0 	 0 	 -8.36 	 -2.09 	 102.96 	 4 	 4 	 4 
	 1 	 114.67 	 5 	 10.00 	 1 	 0 	 0 	 6.79 	 4.30 	 67.40 	 4 	 4 	 4 
	 1 	 127.33 	 2 	 6.46 	 1 	 1 	 0 	 -13.59 	 -0.42 	 43.57 	 5 	 9 	 9 
	 2 	 142.89 	 4 	 8.25 	 1 	 1 	 0 	 11.14 	 4.07 	 67.03 	 3 	 3 	 12 
	 2 	 160.25 	 1 	 10.00 	 1 	 1 	 0 	 -8.14 	 -3.25 	 117.34 	 3 	 3 	 12 
	 2 	 176.72 	 3 	 10.00 	 1 	 0 	 0 	 -10.93 	 5.58 	 82.39 	 3 	 3 	 12 
	 2 	 190.97 	 5 	 10.00 	 1 	 0 	 0 	 7.96 	 -4.62 	 82.27 	 3 	 3 	 12 
	 2 	 205.28 	 2 	 10.00 	 1 	 0 	 0 	 -14.76 	 0.90 	 199.87 	 3 	 3 	 12 
