			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -0.87 	 4.71 	 13.34 	 -14.58 	 6.35 	 -9.32 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -7.29 	 1.35 	 8.34 	 1.35 	 -9.58 	 0.00 	 7.00 	 0.00 	 -5.00 	 -4.32 	 6.34 	 -4.32 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 180.67 	 4 	 6.15 	 1 	 1 	 0 	 9.69 	 3.70 	 84.97 	 5 	 5 	 5 
	 1 	 196.06 	 1 	 10.00 	 1 	 0 	 0 	 0.09 	 -3.03 	 250.57 	 5 	 5 	 5 
	 1 	 212.31 	 3 	 10.00 	 1 	 0 	 0 	 -8.54 	 5.57 	 201.30 	 5 	 5 	 5 
	 1 	 226.67 	 5 	 10.00 	 0 	 0 	 0 	 -6.07 	 -4.81 	 220.62 	 5 	 5 	 5 
	 1 	 242.47 	 2 	 10.00 	 1 	 0 	 0 	 -15.93 	 3.38 	 159.27 	 5 	 5 	 5 
	 2 	 258.03 	 4 	 10.00 	 0 	 0 	 0 	 4.69 	 -5.47 	 170.95 	 5 	 0 	 5 
	 2 	 272.33 	 1 	 10.00 	 1 	 0 	 0 	 0.04 	 -3.65 	 298.81 	 5 	 0 	 5 
	 2 	 286.94 	 3 	 10.00 	 0 	 0 	 0 	 4.85 	 -3.76 	 251.50 	 5 	 0 	 5 
	 2 	 301.16 	 5 	 10.00 	 1 	 0 	 0 	 10.49 	 2.71 	 155.81 	 5 	 0 	 5 
	 2 	 314.23 	 2 	 10.00 	 1 	 0 	 0 	 -15.79 	 -6.43 	 178.13 	 5 	 0 	 5 
