			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -3.59 	 0.68 	 12.61 	 -16.15 	 6.83 	 -10.27 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -8.08 	 3.83 	 9.61 	 3.83 	 -13.15 	 0.00 	 5.00 	 0.00 	 -3.00 	 -7.27 	 7.61 	 -7.27 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 69.84 	 4 	 10.00 	 0 	 1 	 0 	 -1.21 	 0.00 	 148.49 	 0 	 0 	 0 
	 1 	 83.86 	 1 	 10.00 	 1 	 0 	 0 	 -11.19 	 -0.34 	 144.83 	 0 	 0 	 0 
	 1 	 99.73 	 3 	 10.00 	 1 	 0 	 0 	 -8.85 	 -1.28 	 135.45 	 0 	 0 	 0 
	 1 	 105.84 	 5 	 3.14 	 1 	 1 	 0 	 4.09 	 -1.70 	 43.59 	 8 	 8 	 8 
	 1 	 115.00 	 2 	 4.12 	 1 	 1 	 0 	 -12.39 	 -1.63 	 45.94 	 7 	 15 	 15 
	 2 	 131.16 	 4 	 10.00 	 1 	 0 	 0 	 5.63 	 3.36 	 113.28 	 7 	 0 	 15 
	 2 	 144.97 	 1 	 10.00 	 0 	 0 	 0 	 11.10 	 2.37 	 127.92 	 7 	 0 	 15 
	 2 	 160.69 	 3 	 10.00 	 1 	 0 	 0 	 -16.04 	 -2.01 	 164.85 	 7 	 0 	 15 
	 2 	 167.50 	 5 	 3.78 	 1 	 1 	 0 	 3.94 	 -0.06 	 69.59 	 8 	 8 	 23 
	 2 	 182.14 	 2 	 6.94 	 1 	 1 	 0 	 -10.98 	 0.25 	 73.05 	 5 	 13 	 28 
