			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 51.20 	 1 	 10.00 	 1 	 0 	 1 	 -4.50 	 -1.74 	 192.74 	 0 	 0 	 0 
	 1 	 60.23 	 5 	 5.83 	 1 	 1 	 1 	 5.93 	 1.01 	 100.88 	 5 	 5 	 5 
	 1 	 75.98 	 1 	 10.00 	 1 	 0 	 1 	 -4.62 	 -3.65 	 156.78 	 0 	 5 	 5 
	 1 	 83.73 	 5 	 4.62 	 1 	 1 	 1 	 5.91 	 -0.00 	 63.33 	 6 	 11 	 11 
	 1 	 98.98 	 4 	 10.00 	 1 	 0 	 1 	 2.39 	 4.35 	 160.31 	 0 	 11 	 11 
	 2 	 114.08 	 4 	 10.00 	 0 	 0 	 0 	 -3.15 	 4.81 	 190.56 	 0 	 0 	 11 
	 2 	 128.63 	 1 	 10.00 	 1 	 0 	 0 	 -6.69 	 -1.94 	 161.35 	 0 	 0 	 11 
	 2 	 142.91 	 3 	 10.00 	 1 	 0 	 0 	 -8.12 	 5.49 	 191.15 	 0 	 0 	 11 
	 2 	 157.23 	 5 	 10.00 	 0 	 0 	 0 	 -4.78 	 3.03 	 107.66 	 0 	 0 	 11 
	 2 	 169.77 	 2 	 7.00 	 1 	 1 	 0 	 -9.97 	 0.53 	 100.01 	 3 	 3 	 14 
	 3 	 184.64 	 3 	 10.00 	 1 	 0 	 1 	 -2.36 	 4.69 	 193.79 	 0 	 0 	 14 
	 3 	 200.41 	 5 	 10.00 	 1 	 0 	 1 	 0.41 	 -1.01 	 101.40 	 0 	 0 	 14 
	 3 	 214.09 	 3 	 10.00 	 0 	 0 	 1 	 -10.85 	 -6.14 	 174.27 	 0 	 0 	 14 
