			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 52.48 	 4 	 10.00 	 1 	 0 	 0 	 14.21 	 -1.13 	 161.12 	 0 	 0 	 0 
	 1 	 67.06 	 1 	 10.00 	 0 	 0 	 0 	 -15.90 	 -4.48 	 198.23 	 0 	 0 	 0 
	 1 	 81.66 	 3 	 10.00 	 1 	 0 	 0 	 -12.23 	 7.60 	 210.51 	 0 	 0 	 0 
	 1 	 96.39 	 5 	 10.00 	 1 	 1 	 0 	 7.66 	 3.73 	 185.56 	 0 	 0 	 0 
	 1 	 111.34 	 2 	 10.00 	 0 	 0 	 0 	 -18.84 	 2.76 	 218.30 	 0 	 0 	 0 
	 2 	 128.30 	 4 	 10.00 	 0 	 1 	 0 	 -2.97 	 5.79 	 148.58 	 0 	 0 	 0 
	 2 	 142.92 	 1 	 10.00 	 0 	 0 	 0 	 -16.74 	 -6.23 	 190.12 	 0 	 0 	 0 
	 2 	 157.89 	 3 	 10.00 	 1 	 1 	 0 	 -13.85 	 8.51 	 249.77 	 0 	 0 	 0 
	 2 	 172.31 	 5 	 10.00 	 1 	 0 	 0 	 1.81 	 3.00 	 191.64 	 0 	 0 	 0 
	 2 	 187.34 	 2 	 10.00 	 1 	 1 	 0 	 -4.79 	 0.76 	 246.75 	 0 	 0 	 0 
	 3 	 203.45 	 2 	 10.00 	 1 	 1 	 1 	 -2.15 	 -0.78 	 220.32 	 0 	 0 	 0 
	 3 	 218.36 	 1 	 10.00 	 0 	 1 	 1 	 -14.43 	 -7.38 	 261.55 	 0 	 0 	 0 
	 3 	 233.28 	 3 	 10.00 	 0 	 0 	 1 	 -15.24 	 5.91 	 251.83 	 0 	 0 	 0 
	 3 	 247.73 	 6 	 10.00 	 0 	 0 	 1 	 12.69 	 8.16 	 149.95 	 0 	 0 	 0 
	 3 	 262.55 	 2 	 10.00 	 1 	 1 	 1 	 -6.02 	 1.72 	 205.15 	 0 	 0 	 0 
