			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 10, 2016 	  3:01:11.940 PM 	 4 	 9.41 	 1 	 1 	 1 	 8.45 	 2.85 	 70.26 	 1 	 1 	 1 
	 1 	 August 10, 2016 	  3:01:17.467 PM 	 2 	 5.41 	 1 	 1 	 1 	 -9.23 	 2.38 	 56.61 	 5 	 6 	 6 
	 1 	 August 10, 2016 	  3:01:17.467 PM 	 3 	 10.00 	 1 	 0 	 1 	 -9.38 	 2.17 	 55.18 	 0 	 6 	 6 
	 1 	 August 10, 2016 	  3:01:31.341 PM 	 5 	 3.80 	 1 	 1 	 1 	 6.14 	 0.96 	 40.32 	 7 	 13 	 13 
	 1 	 August 10, 2016 	  3:01:31.341 PM 	 6 	 10.00 	 1 	 0 	 1 	 6.47 	 0.02 	 96.27 	 0 	 13 	 13 
	 2 	 August 10, 2016 	  3:01:47.447 PM 	 2 	 3.56 	 1 	 1 	 1 	 -8.26 	 3.10 	 49.19 	 7 	 7 	 20 
	 2 	 August 10, 2016 	  3:01:47.447 PM 	 6 	 10.00 	 1 	 0 	 1 	 4.19 	 -1.17 	 133.71 	 0 	 7 	 20 
	 2 	 August 10, 2016 	  3:02:03.783 PM 	 3 	 6.27 	 1 	 1 	 1 	 -5.32 	 3.15 	 53.41 	 4 	 11 	 24 
	 2 	 August 10, 2016 	  3:02:09.963 PM 	 4 	 6.14 	 1 	 1 	 1 	 6.31 	 4.45 	 55.24 	 4 	 15 	 28 
