			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 10, 2016 	  3:10:11.457 PM 	 4 	 6.26 	 1 	 1 	 0 	 10.86 	 2.97 	 54.68 	 4 	 4 	 4 
	 1 	 August 10, 2016 	  3:10:11.457 PM 	 1 	 10.00 	 1 	 1 	 0 	 -9.38 	 -4.87 	 112.99 	 0 	 4 	 4 
	 1 	 August 10, 2016 	  3:10:28.765 PM 	 3 	 7.11 	 1 	 1 	 0 	 -6.44 	 3.56 	 91.41 	 3 	 7 	 7 
	 1 	 August 10, 2016 	  3:10:34.077 PM 	 5 	 5.28 	 1 	 1 	 0 	 7.47 	 2.56 	 69.24 	 5 	 12 	 12 
	 1 	 August 10, 2016 	  3:10:37.651 PM 	 2 	 3.54 	 1 	 1 	 0 	 -8.96 	 1.24 	 47.32 	 7 	 19 	 19 
	 2 	 August 10, 2016 	  3:10:43.113 PM 	 4 	 3.32 	 1 	 1 	 0 	 7.33 	 3.01 	 27.42 	 7 	 7 	 26 
	 2 	 August 10, 2016 	  3:10:43.113 PM 	 1 	 10.00 	 1 	 0 	 0 	 -6.92 	 -3.93 	 113.83 	 0 	 7 	 26 
	 2 	 August 10, 2016 	  3:10:56.421 PM 	 3 	 3.25 	 1 	 1 	 0 	 -5.98 	 4.40 	 34.97 	 7 	 14 	 33 
	 2 	 August 10, 2016 	  3:10:59.182 PM 	 5 	 2.71 	 1 	 1 	 0 	 2.51 	 1.62 	 18.93 	 8 	 22 	 41 
	 2 	 August 10, 2016 	  3:11:06.404 PM 	 2 	 7.19 	 1 	 1 	 0 	 -8.35 	 0.69 	 87.85 	 3 	 25 	 44 
	 3 	 August 10, 2016 	  3:11:11.516 PM 	 2 	 3.53 	 1 	 1 	 1 	 -8.84 	 0.49 	 37.52 	 7 	 7 	 51 
	 3 	 August 10, 2016 	  3:11:18.912 PM 	 5 	 7.35 	 1 	 1 	 1 	 5.01 	 2.22 	 78.79 	 3 	 10 	 54 
	 3 	 August 10, 2016 	  3:11:23.213 PM 	 6 	 4.26 	 1 	 1 	 1 	 8.00 	 -3.34 	 47.53 	 6 	 16 	 60 
	 3 	 August 10, 2016 	  3:11:27.705 PM 	 3 	 4.46 	 1 	 1 	 1 	 -8.43 	 3.23 	 64.80 	 6 	 22 	 66 
	 3 	 August 10, 2016 	  3:11:31.433 PM 	 4 	 3.70 	 1 	 1 	 1 	 7.45 	 4.17 	 47.09 	 7 	 29 	 73 
	 4 	 August 10, 2016 	  3:11:35.514 PM 	 2 	 2.40 	 1 	 1 	 1 	 -9.27 	 0.97 	 26.72 	 8 	 8 	 81 
	 4 	 August 10, 2016 	  3:11:35.514 PM 	 6 	 10.00 	 1 	 0 	 1 	 8.36 	 -2.64 	 90.80 	 0 	 8 	 81 
	 4 	 August 10, 2016 	  3:11:49.781 PM 	 4 	 4.17 	 1 	 1 	 1 	 6.43 	 2.10 	 26.19 	 6 	 14 	 87 
	 4 	 August 10, 2016 	  3:11:51.889 PM 	 5 	 2.08 	 1 	 1 	 1 	 6.30 	 2.52 	 6.70 	 8 	 22 	 95 
	 4 	 August 10, 2016 	  3:11:55.062 PM 	 3 	 3.14 	 1 	 1 	 1 	 -4.92 	 3.80 	 24.35 	 7 	 29 	 102 
	 5 	 August 10, 2016 	  3:12:02.620 PM 	 4 	 5.78 	 1 	 1 	 0 	 6.65 	 2.21 	 43.39 	 5 	 5 	 107 
	 5 	 August 10, 2016 	  3:12:06.811 PM 	 1 	 4.16 	 1 	 1 	 0 	 -5.74 	 -4.61 	 41.79 	 6 	 11 	 113 
	 5 	 August 10, 2016 	  3:12:09.767 PM 	 3 	 2.92 	 1 	 1 	 0 	 -5.13 	 3.20 	 22.47 	 8 	 19 	 121 
	 5 	 August 10, 2016 	  3:12:12.675 PM 	 5 	 2.88 	 1 	 1 	 0 	 4.70 	 1.19 	 23.69 	 8 	 27 	 129 
	 5 	 August 10, 2016 	  3:12:15.770 PM 	 2 	 3.06 	 1 	 1 	 0 	 -6.98 	 0.97 	 22.44 	 7 	 34 	 136 
	 6 	 August 10, 2016 	  3:12:20.801 PM 	 2 	 3.51 	 1 	 1 	 1 	 -8.36 	 1.80 	 26.54 	 7 	 7 	 143 
	 6 	 August 10, 2016 	  3:12:23.573 PM 	 5 	 2.74 	 1 	 1 	 1 	 3.77 	 2.14 	 20.72 	 8 	 15 	 151 
	 6 	 August 10, 2016 	  3:12:26.731 PM 	 3 	 3.12 	 1 	 1 	 1 	 -6.19 	 2.97 	 27.91 	 7 	 22 	 158 
	 6 	 August 10, 2016 	  3:12:29.174 PM 	 5 	 2.41 	 1 	 1 	 1 	 3.21 	 2.79 	 21.41 	 8 	 30 	 166 
