			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.50 	 9.50 	 5.50 	 -9.50 	 0.00 	 4.50 	 0.00 	 -2.50 	 -5.50 	 7.50 	 -5.50 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 47.94 	 3 	 10.00 	 1 	 0 	 1 	 -10.05 	 7.25 	 127.81 	 0 	 0 	 0 
	 1 	 62.72 	 1 	 10.00 	 1 	 0 	 1 	 -2.02 	 -4.61 	 112.83 	 0 	 0 	 0 
	 1 	 78.22 	 6 	 10.00 	 1 	 0 	 1 	 7.39 	 -6.88 	 163.78 	 0 	 0 	 0 
	 1 	 97.92 	 5 	 10.00 	 1 	 0 	 1 	 5.79 	 0.87 	 63.92 	 0 	 0 	 0 
	 1 	 113.44 	 4 	 10.00 	 0 	 0 	 1 	 0.58 	 2.05 	 95.30 	 0 	 0 	 0 
	 2 	 128.59 	 5 	 10.00 	 1 	 1 	 1 	 2.89 	 -3.09 	 101.47 	 0 	 0 	 0 
	 2 	 142.05 	 1 	 10.00 	 1 	 0 	 1 	 5.47 	 -1.35 	 137.80 	 0 	 0 	 0 
	 2 	 156.77 	 3 	 10.00 	 1 	 0 	 1 	 -7.48 	 -0.01 	 131.79 	 0 	 0 	 0 
	 2 	 170.13 	 6 	 8.44 	 1 	 1 	 1 	 8.22 	 -3.82 	 85.16 	 3 	 3 	 3 
	 2 	 182.19 	 3 	 7.22 	 1 	 1 	 1 	 -5.73 	 5.95 	 70.50 	 4 	 7 	 7 
	 3 	 198.73 	 4 	 10.00 	 1 	 0 	 1 	 7.17 	 1.10 	 112.21 	 0 	 0 	 7 
	 3 	 206.48 	 6 	 4.64 	 1 	 1 	 1 	 6.08 	 -3.34 	 72.21 	 7 	 7 	 14 
