			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 50.05 	 6 	 9.52 	 1 	 1 	 1 	 6.39 	 -5.16 	 116.30 	 1 	 1 	 1 
	 1 	 63.17 	 4 	 7.42 	 1 	 1 	 1 	 8.85 	 4.28 	 74.27 	 3 	 4 	 4 
	 1 	 71.55 	 3 	 4.10 	 1 	 1 	 1 	 -6.71 	 5.91 	 55.78 	 6 	 10 	 10 
	 1 	 88.61 	 1 	 10.00 	 1 	 1 	 1 	 -6.66 	 -4.08 	 133.68 	 0 	 10 	 10 
	 1 	 95.69 	 2 	 3.95 	 1 	 1 	 1 	 -9.99 	 2.22 	 40.62 	 7 	 17 	 17 
	 2 	 106.31 	 5 	 5.26 	 1 	 1 	 1 	 4.40 	 0.74 	 63.96 	 5 	 5 	 22 
	 2 	 121.19 	 6 	 8.16 	 1 	 1 	 1 	 7.78 	 -3.79 	 81.85 	 2 	 7 	 24 
	 2 	 137.91 	 1 	 10.00 	 1 	 0 	 1 	 -3.17 	 -2.41 	 120.17 	 0 	 7 	 24 
	 2 	 154.00 	 2 	 10.00 	 1 	 0 	 1 	 -13.25 	 -4.98 	 103.39 	 0 	 7 	 24 
	 2 	 170.73 	 1 	 10.00 	 1 	 0 	 1 	 -4.80 	 -3.55 	 116.93 	 0 	 7 	 24 
	 3 	 186.20 	 4 	 10.00 	 1 	 0 	 0 	 2.64 	 4.10 	 99.37 	 0 	 0 	 24 
	 3 	 201.17 	 1 	 10.00 	 1 	 0 	 0 	 -2.83 	 -2.13 	 136.49 	 0 	 0 	 24 
	 3 	 212.13 	 3 	 5.88 	 1 	 1 	 0 	 -5.97 	 6.58 	 74.33 	 5 	 5 	 29 
	 3 	 222.84 	 5 	 5.53 	 1 	 1 	 0 	 4.52 	 2.66 	 68.05 	 5 	 10 	 34 
	 3 	 228.91 	 2 	 2.67 	 1 	 1 	 0 	 -9.61 	 1.98 	 35.67 	 8 	 18 	 42 
	 4 	 234.91 	 5 	 2.50 	 1 	 1 	 1 	 3.00 	 1.36 	 25.49 	 8 	 8 	 50 
	 4 	 249.84 	 4 	 10.00 	 1 	 0 	 1 	 2.71 	 5.20 	 108.82 	 0 	 8 	 50 
	 4 	 256.98 	 2 	 4.12 	 1 	 1 	 1 	 -10.55 	 0.49 	 52.43 	 6 	 14 	 56 
	 4 	 267.42 	 5 	 4.67 	 1 	 1 	 1 	 4.00 	 1.50 	 45.05 	 6 	 20 	 62 
	 4 	 280.13 	 3 	 6.92 	 1 	 1 	 1 	 -6.63 	 5.24 	 82.93 	 4 	 24 	 66 
	 5 	 296.41 	 4 	 10.00 	 1 	 0 	 0 	 9.65 	 3.35 	 120.03 	 0 	 0 	 66 
	 5 	 311.47 	 1 	 10.00 	 1 	 0 	 0 	 -4.67 	 -4.37 	 117.34 	 0 	 0 	 66 
	 5 	 316.36 	 3 	 3.99 	 1 	 1 	 0 	 -7.70 	 4.53 	 39.77 	 7 	 7 	 73 
	 5 	 322.16 	 5 	 3.87 	 1 	 1 	 0 	 5.68 	 0.85 	 44.90 	 7 	 14 	 80 
	 5 	 329.22 	 2 	 4.98 	 1 	 1 	 0 	 -9.20 	 2.10 	 58.33 	 6 	 20 	 86 
	 6 	 341.31 	 4 	 10.00 	 1 	 0 	 0 	 6.43 	 3.49 	 113.13 	 0 	 0 	 86 
	 6 	 352.28 	 1 	 10.00 	 1 	 0 	 0 	 -7.67 	 -4.54 	 122.72 	 0 	 0 	 86 
	 6 	 361.00 	 3 	 7.62 	 1 	 1 	 0 	 -6.14 	 5.19 	 65.12 	 3 	 3 	 89 
	 6 	 368.61 	 5 	 5.55 	 1 	 1 	 0 	 5.15 	 0.20 	 58.92 	 5 	 8 	 94 
	 6 	 374.59 	 2 	 4.10 	 1 	 1 	 0 	 -11.59 	 0.15 	 38.70 	 6 	 14 	 100 
	 7 	 383.41 	 2 	 6.63 	 1 	 1 	 1 	 -10.51 	 0.88 	 71.22 	 4 	 4 	 104 
	 7 	 395.13 	 4 	 10.00 	 1 	 0 	 1 	 5.57 	 4.63 	 117.21 	 0 	 4 	 104 
	 7 	 399.80 	 6 	 3.71 	 1 	 1 	 1 	 7.10 	 -3.72 	 41.77 	 7 	 11 	 111 
	 7 	 406.47 	 5 	 4.64 	 1 	 1 	 1 	 5.37 	 -0.36 	 66.79 	 6 	 17 	 117 
	 7 	 412.64 	 3 	 4.27 	 1 	 1 	 1 	 -5.98 	 6.21 	 43.93 	 6 	 23 	 123 
	 8 	 422.98 	 4 	 7.94 	 1 	 1 	 0 	 8.96 	 5.05 	 107.23 	 3 	 3 	 126 
	 8 	 434.86 	 1 	 10.00 	 1 	 0 	 0 	 -7.00 	 -2.35 	 147.43 	 0 	 3 	 126 
	 8 	 439.91 	 3 	 4.00 	 1 	 1 	 0 	 -7.54 	 5.04 	 47.77 	 7 	 10 	 133 
	 8 	 447.28 	 5 	 5.58 	 1 	 1 	 0 	 4.01 	 0.81 	 71.43 	 5 	 15 	 138 
	 8 	 453.48 	 2 	 4.19 	 1 	 1 	 0 	 -10.74 	 0.39 	 54.46 	 6 	 21 	 144 
	 9 	 465.81 	 4 	 10.00 	 1 	 1 	 0 	 7.64 	 3.29 	 102.21 	 0 	 0 	 144 
	 9 	 476.63 	 1 	 10.00 	 1 	 0 	 0 	 -2.74 	 -2.39 	 97.12 	 0 	 0 	 144 
	 9 	 480.95 	 3 	 3.39 	 1 	 1 	 0 	 -5.61 	 5.08 	 38.71 	 7 	 7 	 151 
	 9 	 490.95 	 5 	 8.09 	 1 	 1 	 0 	 3.09 	 0.99 	 84.48 	 2 	 9 	 153 
	 9 	 495.91 	 2 	 2.97 	 1 	 1 	 0 	 -10.88 	 -0.38 	 35.58 	 8 	 17 	 161 
	 10 	 507.98 	 4 	 10.00 	 1 	 0 	 0 	 7.02 	 4.17 	 91.06 	 0 	 0 	 161 
	 10 	 518.64 	 1 	 10.00 	 0 	 0 	 0 	 -10.90 	 -3.25 	 122.33 	 0 	 0 	 161 
	 10 	 522.70 	 3 	 3.31 	 1 	 1 	 0 	 -5.80 	 6.51 	 47.59 	 7 	 7 	 168 
	 10 	 527.03 	 5 	 2.39 	 1 	 1 	 0 	 4.41 	 0.80 	 28.74 	 8 	 15 	 176 
	 10 	 539.64 	 2 	 10.00 	 1 	 0 	 0 	 -9.77 	 2.74 	 94.82 	 0 	 15 	 176 
