			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 50.61 	 4 	 10.00 	 1 	 0 	 1 	 4.74 	 -0.65 	 159.85 	 0 	 0 	 0 
	 1 	 65.34 	 3 	 10.00 	 1 	 0 	 1 	 -7.79 	 7.41 	 139.32 	 0 	 0 	 0 
	 1 	 82.47 	 5 	 9.80 	 1 	 1 	 1 	 7.05 	 2.44 	 111.63 	 1 	 1 	 1 
	 1 	 99.28 	 1 	 10.00 	 1 	 0 	 1 	 -5.37 	 -5.59 	 103.83 	 0 	 1 	 1 
	 1 	 114.22 	 4 	 10.00 	 1 	 0 	 1 	 7.62 	 3.49 	 100.90 	 0 	 1 	 1 
	 2 	 132.52 	 5 	 9.72 	 1 	 1 	 1 	 4.31 	 1.36 	 87.17 	 1 	 1 	 2 
	 2 	 148.08 	 6 	 7.54 	 1 	 1 	 1 	 10.01 	 -5.02 	 82.86 	 3 	 4 	 5 
	 2 	 163.52 	 1 	 10.00 	 1 	 0 	 1 	 -7.03 	 -5.70 	 130.82 	 0 	 4 	 5 
	 2 	 178.48 	 6 	 10.00 	 1 	 0 	 1 	 10.87 	 -4.65 	 136.67 	 0 	 4 	 5 
	 2 	 187.78 	 5 	 6.00 	 1 	 1 	 1 	 6.93 	 2.00 	 56.40 	 4 	 8 	 9 
	 3 	 200.47 	 1 	 6.20 	 1 	 1 	 1 	 -4.59 	 -6.50 	 66.27 	 4 	 4 	 13 
	 3 	 210.34 	 2 	 5.16 	 1 	 1 	 1 	 -10.83 	 -0.11 	 50.87 	 5 	 9 	 18 
	 3 	 227.28 	 1 	 10.00 	 1 	 1 	 1 	 -7.03 	 -2.02 	 63.56 	 0 	 9 	 18 
	 3 	 238.23 	 3 	 7.24 	 1 	 1 	 1 	 -4.56 	 4.28 	 103.92 	 3 	 12 	 21 
	 3 	 246.53 	 1 	 4.75 	 1 	 1 	 1 	 -2.19 	 -4.68 	 48.14 	 6 	 18 	 27 
