			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 47.78 	 2 	 10.00 	 1 	 1 	 1 	 -12.05 	 0.70 	 76.07 	 0 	 0 	 0 
	 1 	 63.47 	 6 	 10.00 	 1 	 0 	 1 	 12.29 	 -5.35 	 83.85 	 0 	 0 	 0 
	 1 	 70.70 	 1 	 4.01 	 1 	 1 	 1 	 -4.82 	 -4.85 	 28.85 	 6 	 6 	 6 
	 1 	 87.22 	 4 	 10.00 	 1 	 0 	 1 	 9.03 	 1.50 	 100.12 	 0 	 6 	 6 
	 1 	 98.47 	 2 	 7.67 	 1 	 1 	 1 	 -11.72 	 0.17 	 61.80 	 3 	 9 	 9 
	 2 	 109.34 	 1 	 4.98 	 1 	 1 	 1 	 -1.45 	 -3.24 	 49.89 	 6 	 6 	 15 
	 2 	 124.66 	 4 	 10.00 	 1 	 0 	 1 	 13.65 	 -3.94 	 94.34 	 0 	 6 	 15 
	 2 	 133.02 	 1 	 4.61 	 1 	 1 	 1 	 -3.94 	 -3.99 	 55.93 	 6 	 12 	 21 
	 2 	 148.48 	 3 	 10.00 	 1 	 0 	 1 	 -11.15 	 3.50 	 115.89 	 0 	 12 	 21 
	 2 	 166.52 	 4 	 10.00 	 1 	 0 	 1 	 11.18 	 3.02 	 77.32 	 0 	 12 	 21 
	 3 	 180.20 	 4 	 8.53 	 1 	 1 	 0 	 9.60 	 3.32 	 86.83 	 2 	 2 	 23 
	 3 	 195.69 	 1 	 10.00 	 1 	 0 	 0 	 -10.99 	 -1.73 	 126.35 	 0 	 2 	 23 
	 3 	 210.81 	 3 	 10.00 	 1 	 1 	 0 	 -2.86 	 3.12 	 99.26 	 0 	 2 	 23 
	 3 	 225.63 	 5 	 10.00 	 1 	 0 	 0 	 2.79 	 -2.30 	 115.13 	 0 	 2 	 23 
	 3 	 236.44 	 2 	 5.73 	 1 	 1 	 0 	 -9.27 	 -0.17 	 57.66 	 5 	 7 	 28 
	 4 	 252.41 	 4 	 10.00 	 0 	 0 	 0 	 12.31 	 -4.60 	 179.00 	 0 	 0 	 28 
	 4 	 264.30 	 1 	 7.05 	 1 	 1 	 0 	 -5.82 	 -3.74 	 108.76 	 3 	 3 	 31 
	 4 	 279.70 	 3 	 10.00 	 0 	 0 	 0 	 3.32 	 -1.45 	 161.11 	 0 	 3 	 31 
	 4 	 295.80 	 5 	 10.00 	 1 	 0 	 0 	 7.18 	 -2.96 	 112.36 	 0 	 3 	 31 
	 4 	 307.58 	 2 	 9.46 	 1 	 1 	 0 	 -6.51 	 -2.00 	 95.70 	 1 	 4 	 32 
	 5 	 319.59 	 4 	 10.00 	 1 	 0 	 0 	 10.25 	 -1.10 	 178.50 	 0 	 0 	 32 
	 5 	 327.52 	 1 	 6.91 	 1 	 1 	 0 	 -5.47 	 -4.40 	 61.84 	 4 	 4 	 36 
	 5 	 339.28 	 3 	 10.00 	 1 	 0 	 0 	 -12.27 	 2.47 	 129.87 	 0 	 4 	 36 
	 5 	 350.19 	 5 	 10.00 	 1 	 0 	 0 	 11.72 	 1.53 	 88.78 	 0 	 4 	 36 
	 5 	 357.70 	 2 	 6.37 	 1 	 1 	 0 	 -9.06 	 0.16 	 49.89 	 4 	 8 	 40 
	 6 	 369.77 	 5 	 10.00 	 1 	 0 	 1 	 7.37 	 -0.38 	 92.91 	 0 	 0 	 40 
	 6 	 374.13 	 6 	 3.32 	 1 	 1 	 1 	 8.19 	 -4.82 	 20.41 	 7 	 7 	 47 
	 6 	 382.41 	 5 	 6.20 	 1 	 1 	 1 	 5.11 	 -0.53 	 46.26 	 4 	 11 	 51 
	 6 	 394.41 	 1 	 10.00 	 1 	 0 	 1 	 -7.69 	 0.14 	 101.92 	 0 	 11 	 51 
	 6 	 399.25 	 6 	 3.91 	 1 	 1 	 1 	 8.20 	 -3.00 	 34.39 	 7 	 18 	 58 
	 7 	 411.83 	 4 	 10.00 	 1 	 0 	 0 	 9.52 	 2.06 	 94.14 	 0 	 0 	 58 
