			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 18, 2016 	  3:23:48.823 PM 	 5 	 8.93 	 1 	 1 	 1 	 4.51 	 -1.39 	 95.58 	 2 	 2 	 2 
	 1 	 August 18, 2016 	  3:23:57.814 PM 	 6 	 8.87 	 1 	 1 	 1 	 9.73 	 -5.79 	 59.14 	 2 	 4 	 4 
	 1 	 August 18, 2016 	  3:23:57.814 PM 	 1 	 10.00 	 1 	 0 	 1 	 -6.76 	 -6.18 	 88.38 	 0 	 4 	 4 
	 1 	 August 18, 2016 	  3:24:11.713 PM 	 6 	 3.79 	 1 	 1 	 1 	 8.75 	 -3.48 	 46.58 	 7 	 11 	 11 
	 1 	 August 18, 2016 	  3:24:21.751 PM 	 1 	 10.00 	 1 	 1 	 1 	 -1.85 	 -3.14 	 64.87 	 0 	 11 	 11 
	 2 	 August 18, 2016 	  3:24:31.283 PM 	 6 	 8.00 	 1 	 1 	 1 	 7.17 	 -4.30 	 62.88 	 3 	 3 	 14 
	 2 	 August 18, 2016 	  3:24:37.365 PM 	 1 	 6.05 	 1 	 1 	 1 	 -4.41 	 -4.52 	 37.22 	 4 	 7 	 18 
	 2 	 August 18, 2016 	  3:24:37.365 PM 	 4 	 10.00 	 0 	 0 	 1 	 -6.73 	 2.86 	 85.88 	 0 	 7 	 18 
	 2 	 August 18, 2016 	  3:24:51.894 PM 	 5 	 4.45 	 1 	 1 	 1 	 4.20 	 -1.16 	 36.95 	 6 	 13 	 24 
	 2 	 August 18, 2016 	  3:24:54.670 PM 	 6 	 2.75 	 1 	 1 	 1 	 7.96 	 -4.35 	 15.22 	 8 	 21 	 32 
	 3 	 August 18, 2016 	  3:24:54.670 PM 	 4 	 10.00 	 1 	 0 	 0 	 3.30 	 3.37 	 66.70 	 0 	 0 	 32 
	 3 	 August 18, 2016 	  3:25:15.880 PM 	 1 	 8.10 	 1 	 1 	 0 	 -2.83 	 -5.53 	 78.19 	 2 	 2 	 34 
	 3 	 August 18, 2016 	  3:25:18.673 PM 	 3 	 2.76 	 1 	 1 	 0 	 -5.85 	 3.85 	 16.98 	 8 	 10 	 42 
	 3 	 August 18, 2016 	  3:25:22.484 PM 	 5 	 3.78 	 1 	 1 	 0 	 6.81 	 -2.17 	 31.96 	 7 	 17 	 49 
	 3 	 August 18, 2016 	  3:25:22.484 PM 	 2 	 10.00 	 1 	 1 	 0 	 -12.34 	 3.89 	 78.90 	 0 	 17 	 49 
	 4 	 August 18, 2016 	  3:25:38.519 PM 	 4 	 4.56 	 1 	 1 	 0 	 8.73 	 3.64 	 53.17 	 6 	 6 	 55 
	 4 	 August 18, 2016 	  3:25:42.487 PM 	 1 	 3.94 	 1 	 1 	 0 	 -1.15 	 -2.42 	 19.87 	 7 	 13 	 62 
	 4 	 August 18, 2016 	  3:25:42.487 PM 	 3 	 10.00 	 1 	 1 	 0 	 -11.99 	 -2.92 	 93.31 	 0 	 13 	 62 
	 4 	 August 18, 2016 	  3:25:42.487 PM 	 5 	 10.00 	 1 	 0 	 0 	 2.52 	 1.64 	 88.58 	 0 	 13 	 62 
	 4 	 August 18, 2016 	  3:25:42.487 PM 	 2 	 10.00 	 1 	 0 	 0 	 -13.43 	 -4.14 	 89.06 	 0 	 13 	 62 
	 5 	 August 18, 2016 	  3:25:42.487 PM 	 2 	 10.00 	 1 	 0 	 1 	 -11.34 	 -2.85 	 133.39 	 0 	 0 	 62 
	 5 	 August 18, 2016 	  3:25:42.487 PM 	 5 	 10.00 	 1 	 0 	 1 	 -2.46 	 7.60 	 108.23 	 0 	 0 	 62 
	 5 	 August 18, 2016 	  3:25:42.487 PM 	 2 	 10.00 	 0 	 1 	 1 	 3.31 	 -7.78 	 83.31 	 0 	 0 	 62 
	 5 	 August 18, 2016 	  3:26:52.620 PM 	 6 	 8.31 	 1 	 1 	 1 	 7.81 	 -3.02 	 75.62 	 2 	 2 	 64 
	 5 	 August 18, 2016 	  3:27:00.653 PM 	 1 	 7.99 	 1 	 1 	 1 	 -3.63 	 -4.18 	 65.06 	 3 	 5 	 67 
