			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 18, 2016 	  3:14:52.665 PM 	 2 	 3.22 	 1 	 1 	 1 	 -9.13 	 1.11 	 46.44 	 7 	 7 	 7 
	 1 	 August 18, 2016 	  3:14:58.643 PM 	 4 	 5.84 	 1 	 1 	 1 	 7.23 	 4.48 	 73.47 	 5 	 12 	 12 
	 1 	 August 18, 2016 	  3:15:03.545 PM 	 5 	 4.85 	 1 	 1 	 1 	 4.80 	 -1.42 	 60.53 	 6 	 18 	 18 
	 1 	 August 18, 2016 	  3:15:09.167 PM 	 6 	 5.59 	 1 	 1 	 1 	 4.63 	 -3.07 	 68.20 	 5 	 23 	 23 
	 1 	 August 18, 2016 	  3:15:09.167 PM 	 1 	 10.00 	 1 	 0 	 1 	 -1.57 	 -3.22 	 93.83 	 0 	 23 	 23 
	 2 	 August 18, 2016 	  3:15:24.579 PM 	 5 	 3.79 	 1 	 1 	 1 	 4.37 	 -2.35 	 41.48 	 7 	 7 	 30 
	 2 	 August 18, 2016 	  3:15:28.599 PM 	 3 	 3.93 	 1 	 1 	 1 	 -6.26 	 4.65 	 67.32 	 7 	 14 	 37 
	 2 	 August 18, 2016 	  3:15:34.388 PM 	 6 	 5.75 	 1 	 1 	 1 	 4.99 	 -3.11 	 53.82 	 5 	 19 	 42 
	 2 	 August 18, 2016 	  3:15:40.664 PM 	 3 	 6.24 	 1 	 1 	 1 	 -3.99 	 5.78 	 73.98 	 4 	 23 	 46 
	 2 	 August 18, 2016 	  3:15:46.270 PM 	 6 	 5.58 	 1 	 1 	 1 	 6.03 	 -4.27 	 61.12 	 5 	 28 	 51 
	 3 	 August 18, 2016 	  3:15:46.270 PM 	 4 	 10.00 	 1 	 0 	 0 	 3.37 	 9.62 	 184.19 	 0 	 0 	 51 
	 3 	 August 18, 2016 	  3:16:03.419 PM 	 1 	 5.35 	 1 	 1 	 0 	 -2.97 	 -2.37 	 50.76 	 5 	 5 	 56 
	 3 	 August 18, 2016 	  3:16:06.291 PM 	 3 	 2.84 	 1 	 1 	 0 	 -6.39 	 3.20 	 24.92 	 8 	 13 	 64 
	 3 	 August 18, 2016 	  3:16:08.667 PM 	 5 	 2.35 	 1 	 1 	 0 	 5.08 	 -2.52 	 27.60 	 8 	 21 	 72 
	 3 	 August 18, 2016 	  3:16:14.381 PM 	 2 	 5.69 	 1 	 1 	 0 	 -9.29 	 1.98 	 52.15 	 5 	 26 	 77 
	 4 	 August 18, 2016 	  3:16:23.344 PM 	 2 	 7.79 	 1 	 1 	 1 	 -10.41 	 2.18 	 59.11 	 3 	 3 	 80 
	 4 	 August 18, 2016 	  3:16:28.516 PM 	 3 	 5.14 	 1 	 1 	 1 	 -5.75 	 5.52 	 42.71 	 5 	 8 	 85 
	 4 	 August 18, 2016 	  3:16:28.516 PM 	 2 	 10.00 	 1 	 0 	 1 	 -10.46 	 2.92 	 53.68 	 0 	 8 	 85 
	 4 	 August 18, 2016 	  3:16:46.704 PM 	 6 	 8.10 	 1 	 1 	 1 	 5.89 	 -2.52 	 45.04 	 2 	 10 	 87 
	 4 	 August 18, 2016 	  3:16:54.470 PM 	 3 	 7.72 	 1 	 1 	 1 	 -6.97 	 2.39 	 60.36 	 3 	 13 	 90 
	 5 	 August 18, 2016 	  3:16:54.470 PM 	 4 	 10.00 	 1 	 0 	 0 	 5.83 	 2.91 	 90.31 	 0 	 0 	 90 
	 5 	 August 18, 2016 	  3:17:10.660 PM 	 1 	 4.98 	 1 	 1 	 0 	 -1.03 	 -2.09 	 31.93 	 6 	 6 	 96 
	 5 	 August 18, 2016 	  3:17:13.034 PM 	 3 	 2.35 	 1 	 1 	 0 	 -6.75 	 5.12 	 19.82 	 8 	 14 	 104 
	 5 	 August 18, 2016 	  3:17:17.675 PM 	 5 	 4.61 	 1 	 1 	 0 	 4.29 	 0.53 	 39.72 	 6 	 20 	 110 
	 5 	 August 18, 2016 	  3:17:23.613 PM 	 2 	 5.91 	 1 	 1 	 0 	 -7.87 	 0.74 	 61.71 	 5 	 25 	 115 
	 6 	 August 18, 2016 	  3:17:23.613 PM 	 5 	 10.00 	 1 	 0 	 1 	 13.84 	 -3.45 	 170.22 	 0 	 0 	 115 
	 6 	 August 18, 2016 	  3:17:44.552 PM 	 3 	 9.03 	 1 	 1 	 1 	 -6.74 	 4.20 	 133.64 	 1 	 1 	 116 
	 6 	 August 18, 2016 	  3:17:51.720 PM 	 2 	 7.14 	 1 	 1 	 1 	 -10.63 	 2.37 	 47.38 	 3 	 4 	 119 
	 6 	 August 18, 2016 	  3:17:55.938 PM 	 5 	 4.19 	 1 	 1 	 1 	 4.60 	 1.05 	 43.47 	 6 	 10 	 125 
	 6 	 August 18, 2016 	  3:17:59.576 PM 	 2 	 3.61 	 1 	 1 	 1 	 -7.88 	 2.56 	 32.88 	 7 	 17 	 132 
	 7 	 August 18, 2016 	  3:17:59.576 PM 	 4 	 10.00 	 1 	 0 	 0 	 3.52 	 9.05 	 137.46 	 0 	 0 	 132 
	 7 	 August 18, 2016 	  3:18:18.616 PM 	 1 	 7.40 	 1 	 1 	 0 	 -3.11 	 -3.36 	 62.75 	 3 	 3 	 135 
	 7 	 August 18, 2016 	  3:18:23.015 PM 	 3 	 4.37 	 1 	 1 	 0 	 -7.26 	 2.66 	 39.48 	 6 	 9 	 141 
	 7 	 August 18, 2016 	  3:18:27.639 PM 	 5 	 4.60 	 1 	 1 	 0 	 3.19 	 -1.87 	 43.63 	 6 	 15 	 147 
	 7 	 August 18, 2016 	  3:18:32.680 PM 	 2 	 5.01 	 1 	 1 	 0 	 -6.23 	 2.10 	 37.40 	 5 	 20 	 152 
	 8 	 August 18, 2016 	  3:18:37.059 PM 	 3 	 3.22 	 1 	 1 	 1 	 -5.91 	 3.36 	 27.86 	 7 	 7 	 159 
	 8 	 August 18, 2016 	  3:18:44.800 PM 	 6 	 7.71 	 1 	 1 	 1 	 4.38 	 -4.93 	 53.31 	 3 	 10 	 162 
	 8 	 August 18, 2016 	  3:18:44.800 PM 	 4 	 10.00 	 0 	 1 	 1 	 -9.25 	 3.97 	 118.47 	 0 	 10 	 162 
	 8 	 August 18, 2016 	  3:19:01.818 PM 	 3 	 6.95 	 1 	 1 	 1 	 -6.22 	 3.46 	 102.51 	 4 	 14 	 166 
	 8 	 August 18, 2016 	  3:19:05.938 PM 	 6 	 4.09 	 1 	 1 	 1 	 5.47 	 -2.69 	 37.75 	 6 	 20 	 172 
	 9 	 August 18, 2016 	  3:19:05.938 PM 	 4 	 10.00 	 1 	 0 	 0 	 8.15 	 4.16 	 145.24 	 0 	 0 	 172 
	 9 	 August 18, 2016 	  3:19:24.951 PM 	 1 	 7.45 	 1 	 1 	 0 	 -1.92 	 -2.40 	 63.95 	 3 	 3 	 175 
	 9 	 August 18, 2016 	  3:19:28.376 PM 	 3 	 3.40 	 1 	 1 	 0 	 -6.14 	 3.55 	 26.83 	 7 	 10 	 182 
	 9 	 August 18, 2016 	  3:19:31.723 PM 	 5 	 3.32 	 1 	 1 	 0 	 3.69 	 1.63 	 31.33 	 7 	 17 	 189 
	 9 	 August 18, 2016 	  3:19:35.436 PM 	 2 	 3.68 	 1 	 1 	 0 	 -9.91 	 1.44 	 29.14 	 7 	 24 	 196 
	 10 	 August 18, 2016 	  3:19:35.436 PM 	 4 	 10.00 	 0 	 1 	 1 	 -5.33 	 2.92 	 111.02 	 0 	 0 	 196 
