			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 11, 2016 	  3:43:54.208 PM 	 2 	 7.25 	 1 	 1 	 1 	 -3.47 	 3.38 	 60.72 	 3 	 3 	 3 
	 1 	 August 11, 2016 	  3:44:01.526 PM 	 1 	 7.20 	 1 	 1 	 1 	 -4.56 	 -7.29 	 89.53 	 3 	 6 	 6 
	 1 	 August 11, 2016 	  3:44:01.526 PM 	 5 	 10.00 	 1 	 0 	 1 	 9.57 	 -1.31 	 101.49 	 0 	 6 	 6 
	 1 	 August 11, 2016 	  3:44:01.526 PM 	 4 	 10.00 	 0 	 0 	 1 	 -2.47 	 4.89 	 118.46 	 0 	 6 	 6 
	 1 	 August 11, 2016 	  3:44:01.526 PM 	 1 	 10.00 	 1 	 0 	 1 	 -6.95 	 -4.85 	 122.02 	 0 	 6 	 6 
	 2 	 August 11, 2016 	  3:44:36.237 PM 	 4 	 2.94 	 1 	 1 	 1 	 8.23 	 5.67 	 31.63 	 8 	 8 	 14 
	 2 	 August 11, 2016 	  3:44:36.237 PM 	 3 	 10.00 	 1 	 0 	 1 	 -12.59 	 2.92 	 114.87 	 0 	 8 	 14 
	 2 	 August 11, 2016 	  3:44:36.237 PM 	 5 	 10.00 	 1 	 0 	 1 	 5.35 	 0.85 	 112.12 	 0 	 8 	 14 
	 2 	 August 11, 2016 	  3:45:05.735 PM 	 6 	 9.34 	 1 	 1 	 1 	 5.63 	 -5.28 	 127.75 	 1 	 9 	 15 
	 2 	 August 11, 2016 	  3:45:13.401 PM 	 5 	 7.63 	 1 	 1 	 1 	 5.68 	 1.43 	 83.16 	 3 	 12 	 18 
	 3 	 August 11, 2016 	  3:45:13.401 PM 	 4 	 10.00 	 1 	 1 	 0 	 9.14 	 1.66 	 90.77 	 0 	 0 	 18 
	 3 	 August 11, 2016 	  3:45:13.401 PM 	 1 	 10.00 	 1 	 0 	 0 	 -9.50 	 -0.90 	 124.77 	 0 	 0 	 18 
	 3 	 August 11, 2016 	  3:45:13.401 PM 	 3 	 10.00 	 1 	 1 	 0 	 -6.06 	 6.60 	 118.30 	 0 	 0 	 18 
	 3 	 August 11, 2016 	  3:45:13.401 PM 	 5 	 10.00 	 1 	 0 	 0 	 -2.05 	 2.66 	 113.76 	 0 	 0 	 18 
	 3 	 August 11, 2016 	  3:45:13.401 PM 	 2 	 10.00 	 1 	 0 	 0 	 -15.68 	 -0.92 	 123.28 	 0 	 0 	 18 
	 4 	 August 11, 2016 	  3:46:09.802 PM 	 4 	 3.13 	 1 	 1 	 0 	 8.06 	 4.86 	 30.49 	 7 	 7 	 25 
	 4 	 August 11, 2016 	  3:46:09.802 PM 	 1 	 10.00 	 1 	 0 	 0 	 -5.63 	 -6.54 	 129.57 	 0 	 7 	 25 
	 4 	 August 11, 2016 	  3:46:09.802 PM 	 3 	 10.00 	 1 	 1 	 0 	 -10.04 	 8.26 	 97.94 	 0 	 7 	 25 
	 4 	 August 11, 2016 	  3:46:09.802 PM 	 5 	 10.00 	 0 	 1 	 0 	 -9.19 	 2.37 	 127.53 	 0 	 7 	 25 
	 4 	 August 11, 2016 	  3:46:48.620 PM 	 2 	 8.66 	 1 	 1 	 0 	 -10.41 	 -0.37 	 83.38 	 2 	 9 	 27 
	 5 	 August 11, 2016 	  3:46:48.620 PM 	 4 	 10.00 	 0 	 0 	 0 	 -0.73 	 1.39 	 107.38 	 0 	 0 	 27 
	 5 	 August 11, 2016 	  3:46:48.620 PM 	 1 	 10.00 	 1 	 0 	 0 	 -7.45 	 2.01 	 101.07 	 0 	 0 	 27 
	 5 	 August 11, 2016 	  3:46:48.620 PM 	 3 	 10.00 	 1 	 0 	 0 	 -5.32 	 0.95 	 124.09 	 0 	 0 	 27 
	 5 	 August 11, 2016 	  3:46:48.620 PM 	 5 	 10.00 	 1 	 0 	 0 	 9.50 	 0.89 	 135.06 	 0 	 0 	 27 
	 5 	 August 11, 2016 	  3:47:38.403 PM 	 2 	 8.22 	 1 	 1 	 0 	 -7.17 	 1.46 	 98.80 	 2 	 2 	 29 
