			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 10, 2016 	  4:32:49.172 PM 	 4 	 4.03 	 1 	 1 	 0 	 8.43 	 5.57 	 33.49 	 6 	 6 	 6 
	 1 	 August 10, 2016 	  4:32:49.172 PM 	 1 	 10.00 	 1 	 0 	 0 	 -11.35 	 -6.01 	 73.10 	 0 	 6 	 6 
	 1 	 August 10, 2016 	  4:32:49.172 PM 	 3 	 10.00 	 1 	 0 	 0 	 -6.35 	 7.33 	 88.93 	 0 	 6 	 6 
	 1 	 August 10, 2016 	  4:32:49.172 PM 	 5 	 10.00 	 1 	 0 	 0 	 5.73 	 1.65 	 99.87 	 0 	 6 	 6 
	 1 	 August 10, 2016 	  4:33:21.882 PM 	 2 	 2.39 	 1 	 1 	 0 	 -8.73 	 0.00 	 30.07 	 8 	 14 	 14 
	 2 	 August 10, 2016 	  4:34:31.164 PM 	 2 	 4.70 	 1 	 1 	 1 	 -10.19 	 -0.06 	 21.73 	 6 	 6 	 20 
	 2 	 August 10, 2016 	  4:34:36.372 PM 	 6 	 5.16 	 1 	 1 	 1 	 7.11 	 -4.32 	 55.82 	 5 	 11 	 25 
	 2 	 August 10, 2016 	  4:34:45.229 PM 	 5 	 8.82 	 1 	 1 	 1 	 6.08 	 1.37 	 80.75 	 2 	 13 	 27 
	 2 	 August 10, 2016 	  4:34:47.870 PM 	 4 	 2.57 	 1 	 1 	 1 	 7.31 	 5.69 	 33.44 	 8 	 21 	 35 
	 2 	 August 10, 2016 	  4:34:47.870 PM 	 3 	 10.00 	 1 	 0 	 1 	 -12.99 	 5.10 	 116.89 	 0 	 21 	 35 
	 3 	 August 10, 2016 	  4:34:47.870 PM 	 1 	 10.00 	 1 	 0 	 1 	 -3.01 	 -2.31 	 110.46 	 0 	 0 	 35 
	 3 	 August 10, 2016 	  4:35:15.007 PM 	 5 	 5.41 	 1 	 1 	 1 	 6.07 	 0.26 	 48.50 	 5 	 5 	 40 
	 3 	 August 10, 2016 	  4:35:22.464 PM 	 4 	 7.43 	 1 	 1 	 1 	 10.26 	 4.50 	 65.39 	 3 	 8 	 43 
	 3 	 August 10, 2016 	  4:35:28.796 PM 	 3 	 6.29 	 1 	 1 	 1 	 -7.61 	 1.85 	 60.36 	 4 	 12 	 47 
	 3 	 August 10, 2016 	  4:35:32.892 PM 	 5 	 4.07 	 1 	 1 	 1 	 6.47 	 2.40 	 41.29 	 6 	 18 	 53 
	 4 	 August 10, 2016 	  4:35:37.128 PM 	 4 	 2.58 	 1 	 1 	 0 	 7.96 	 5.34 	 30.08 	 8 	 8 	 61 
	 4 	 August 10, 2016 	  4:35:37.128 PM 	 1 	 10.00 	 1 	 0 	 0 	 -5.12 	 -2.80 	 100.63 	 0 	 8 	 61 
	 4 	 August 10, 2016 	  4:35:37.128 PM 	 3 	 10.00 	 1 	 0 	 0 	 -6.26 	 6.46 	 82.18 	 0 	 8 	 61 
	 4 	 August 10, 2016 	  4:36:03.011 PM 	 5 	 5.77 	 1 	 1 	 0 	 5.60 	 2.88 	 51.42 	 5 	 13 	 66 
	 4 	 August 10, 2016 	  4:36:10.352 PM 	 2 	 7.31 	 1 	 1 	 0 	 -9.23 	 0.98 	 68.51 	 3 	 16 	 69 
	 5 	 August 10, 2016 	  4:36:14.567 PM 	 4 	 2.78 	 1 	 1 	 0 	 7.21 	 3.99 	 31.55 	 8 	 8 	 77 
	 5 	 August 10, 2016 	  4:36:19.983 PM 	 1 	 5.38 	 1 	 1 	 0 	 -4.21 	 -4.93 	 51.30 	 5 	 13 	 82 
	 5 	 August 10, 2016 	  4:36:23.407 PM 	 3 	 3.39 	 1 	 1 	 0 	 -7.86 	 4.02 	 25.90 	 7 	 20 	 89 
	 5 	 August 10, 2016 	  4:36:23.407 PM 	 5 	 10.00 	 1 	 0 	 0 	 9.34 	 -0.02 	 74.36 	 0 	 20 	 89 
	 5 	 August 10, 2016 	  4:36:36.297 PM 	 2 	 2.79 	 1 	 1 	 0 	 -9.53 	 0.65 	 33.23 	 8 	 28 	 97 
	 6 	 August 10, 2016 	  4:36:36.297 PM 	 4 	 10.00 	 1 	 0 	 0 	 2.26 	 3.86 	 92.07 	 0 	 0 	 97 
	 6 	 August 10, 2016 	  4:36:36.297 PM 	 1 	 10.00 	 1 	 0 	 0 	 -9.16 	 -4.18 	 123.43 	 0 	 0 	 97 
	 6 	 August 10, 2016 	  4:36:36.297 PM 	 3 	 10.00 	 1 	 0 	 0 	 -4.53 	 2.54 	 98.41 	 0 	 0 	 97 
	 6 	 August 10, 2016 	  4:37:12.608 PM 	 5 	 5.00 	 1 	 1 	 0 	 6.15 	 1.97 	 42.92 	 6 	 6 	 103 
