			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 11, 2016 	  3:07:20.377 PM 	 4 	 4.49 	 1 	 1 	 0 	 7.75 	 4.40 	 60.32 	 6 	 6 	 6 
	 1 	 August 11, 2016 	  3:07:20.377 PM 	 1 	 10.00 	 1 	 0 	 0 	 1.36 	 1.47 	 92.34 	 0 	 6 	 6 
	 1 	 August 11, 2016 	  3:07:37.608 PM 	 3 	 7.09 	 1 	 1 	 0 	 -3.61 	 4.29 	 111.57 	 3 	 9 	 9 
	 1 	 August 11, 2016 	  3:07:42.059 PM 	 5 	 4.42 	 1 	 1 	 0 	 7.21 	 -0.04 	 42.77 	 6 	 15 	 15 
	 1 	 August 11, 2016 	  3:07:45.611 PM 	 2 	 3.52 	 1 	 1 	 0 	 -9.75 	 0.16 	 34.65 	 7 	 22 	 22 
	 2 	 August 11, 2016 	  3:07:49.267 PM 	 4 	 2.55 	 1 	 1 	 0 	 7.23 	 4.39 	 34.62 	 8 	 8 	 30 
	 2 	 August 11, 2016 	  3:07:49.267 PM 	 1 	 10.00 	 1 	 0 	 0 	 -8.80 	 -2.23 	 121.51 	 0 	 8 	 30 
	 2 	 August 11, 2016 	  3:07:49.267 PM 	 3 	 10.00 	 1 	 0 	 0 	 -4.46 	 2.89 	 104.18 	 0 	 8 	 30 
	 2 	 August 11, 2016 	  3:08:13.249 PM 	 5 	 3.83 	 1 	 1 	 0 	 4.79 	 2.41 	 33.53 	 7 	 15 	 37 
	 2 	 August 11, 2016 	  3:08:16.063 PM 	 2 	 2.79 	 1 	 1 	 0 	 -7.64 	 1.49 	 32.39 	 8 	 23 	 45 
	 3 	 August 11, 2016 	  3:08:27.013 PM 	 4 	 9.41 	 1 	 1 	 0 	 5.98 	 4.85 	 89.93 	 1 	 1 	 46 
	 3 	 August 11, 2016 	  3:08:27.013 PM 	 1 	 10.00 	 1 	 0 	 0 	 -7.65 	 -3.12 	 106.60 	 0 	 1 	 46 
	 3 	 August 11, 2016 	  3:08:46.360 PM 	 3 	 9.24 	 1 	 1 	 0 	 -3.47 	 2.32 	 92.66 	 1 	 2 	 47 
	 3 	 August 11, 2016 	  3:08:51.221 PM 	 5 	 4.79 	 1 	 1 	 0 	 4.22 	 0.99 	 29.59 	 6 	 8 	 53 
	 3 	 August 11, 2016 	  3:09:00.096 PM 	 2 	 8.85 	 1 	 1 	 0 	 -8.35 	 -1.03 	 75.82 	 2 	 10 	 55 
	 4 	 August 11, 2016 	  3:09:04.252 PM 	 2 	 2.65 	 1 	 1 	 1 	 -8.41 	 -0.19 	 21.31 	 8 	 8 	 63 
	 4 	 August 11, 2016 	  3:09:07.373 PM 	 6 	 3.08 	 1 	 1 	 1 	 6.83 	 -2.53 	 28.70 	 7 	 15 	 70 
	 4 	 August 11, 2016 	  3:09:07.373 PM 	 1 	 10.00 	 1 	 0 	 1 	 -9.95 	 0.23 	 115.63 	 0 	 15 	 70 
	 4 	 August 11, 2016 	  3:09:20.583 PM 	 2 	 3.11 	 1 	 1 	 1 	 -9.45 	 0.93 	 33.82 	 7 	 22 	 77 
