			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 646.14 	 4 	 10.00 	 1 	 0 	 0 	 6.28 	 5.18 	 157.92 	 0 	 0 	 0 
	 1 	 657.94 	 1 	 10.00 	 1 	 0 	 0 	 -5.05 	 -3.93 	 70.10 	 0 	 0 	 0 
	 1 	 663.41 	 3 	 4.36 	 1 	 1 	 0 	 -5.84 	 7.34 	 33.99 	 6 	 6 	 6 
	 1 	 671.48 	 5 	 5.74 	 1 	 1 	 0 	 5.76 	 0.16 	 28.72 	 5 	 11 	 11 
	 1 	 678.39 	 2 	 4.76 	 1 	 1 	 0 	 -8.79 	 0.48 	 42.55 	 6 	 17 	 17 
	 2 	 691.44 	 4 	 10.00 	 1 	 0 	 0 	 7.49 	 5.36 	 51.68 	 0 	 0 	 17 
	 2 	 702.13 	 1 	 9.52 	 1 	 1 	 0 	 -2.65 	 -2.87 	 59.67 	 1 	 1 	 18 
	 2 	 708.13 	 3 	 4.02 	 1 	 1 	 0 	 -6.16 	 6.99 	 28.47 	 6 	 7 	 24 
	 2 	 714.84 	 5 	 4.58 	 1 	 1 	 0 	 5.39 	 2.41 	 21.09 	 6 	 13 	 30 
	 2 	 720.42 	 2 	 3.49 	 1 	 1 	 0 	 -9.66 	 1.95 	 27.48 	 7 	 20 	 37 
	 3 	 737.31 	 4 	 10.00 	 1 	 0 	 0 	 6.98 	 5.06 	 299.44 	 0 	 0 	 37 
