			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -0.57 	 1.72 	 13.98 	 -13.23 	 8.84 	 -8.76 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.61 	 6.84 	 11.98 	 6.84 	 -11.23 	 0.00 	 4.00 	 0.00 	 -2.00 	 -6.76 	 9.98 	 -6.76 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 71.59 	 4 	 10.00 	 1 	 0 	 0 	 8.95 	 0.86 	 113.08 	 0 	 0 	 0 
	 1 	 88.03 	 1 	 10.00 	 1 	 0 	 0 	 -3.61 	 -4.38 	 107.22 	 0 	 0 	 0 
	 1 	 101.95 	 3 	 10.00 	 0 	 0 	 0 	 -5.55 	 -2.38 	 92.58 	 0 	 0 	 0 
	 1 	 116.08 	 5 	 10.00 	 0 	 0 	 0 	 14.14 	 1.80 	 105.12 	 0 	 0 	 0 
	 1 	 131.63 	 2 	 10.00 	 1 	 0 	 0 	 -8.96 	 -0.98 	 85.81 	 0 	 0 	 0 
	 2 	 146.56 	 4 	 10.00 	 0 	 0 	 0 	 8.91 	 -0.30 	 84.59 	 0 	 0 	 0 
	 2 	 160.72 	 1 	 10.00 	 1 	 0 	 0 	 -6.74 	 -5.31 	 86.78 	 0 	 0 	 0 
	 2 	 175.05 	 3 	 10.00 	 0 	 0 	 0 	 -7.63 	 -0.47 	 67.27 	 0 	 0 	 0 
	 2 	 189.23 	 5 	 10.00 	 1 	 0 	 0 	 0.05 	 -2.05 	 100.30 	 0 	 0 	 0 
	 2 	 204.63 	 2 	 10.00 	 1 	 0 	 0 	 -12.11 	 -1.25 	 62.23 	 0 	 0 	 0 
