			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -0.67 	 3.52 	 13.44 	 -16.15 	 4.55 	 -9.24 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -8.08 	 2.55 	 11.44 	 2.55 	 -14.15 	 0.00 	 4.00 	 0.00 	 -2.00 	 -7.24 	 9.44 	 -7.24 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 104.11 	 4 	 10.00 	 1 	 0 	 0 	 15.46 	 -1.92 	 61.58 	 0 	 0 	 0 
	 1 	 118.31 	 1 	 10.00 	 0 	 0 	 0 	 -11.27 	 -3.38 	 219.11 	 0 	 0 	 0 
	 1 	 132.42 	 3 	 10.00 	 0 	 0 	 0 	 -3.59 	 -7.01 	 156.75 	 0 	 0 	 0 
	 1 	 146.59 	 5 	 10.00 	 1 	 0 	 0 	 8.18 	 -1.97 	 56.35 	 0 	 0 	 0 
	 1 	 161.45 	 2 	 10.00 	 1 	 0 	 0 	 -10.08 	 -1.64 	 167.99 	 0 	 0 	 0 
	 2 	 176.25 	 4 	 10.00 	 0 	 0 	 0 	 -4.81 	 3.76 	 107.82 	 0 	 0 	 0 
	 2 	 190.56 	 1 	 10.00 	 1 	 0 	 0 	 -5.99 	 -1.06 	 172.09 	 0 	 0 	 0 
	 2 	 204.78 	 3 	 10.00 	 1 	 0 	 0 	 -6.46 	 -3.09 	 180.80 	 0 	 0 	 0 
	 2 	 217.03 	 5 	 7.14 	 1 	 1 	 0 	 3.97 	 -1.32 	 66.45 	 4 	 4 	 4 
	 2 	 232.81 	 2 	 10.00 	 1 	 0 	 0 	 -12.45 	 -1.12 	 100.48 	 4 	 4 	 4 
