			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -1.17 	 4.96 	 12.10 	 -16.84 	 8.72 	 -11.15 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -8.42 	 5.72 	 9.10 	 5.72 	 -13.84 	 0.00 	 5.00 	 0.00 	 -3.00 	 -8.15 	 7.10 	 -8.15 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 71.31 	 4 	 10.00 	 1 	 0 	 0 	 7.47 	 1.44 	 72.59 	 0 	 0 	 0 
	 1 	 85.56 	 1 	 10.00 	 1 	 0 	 0 	 -9.11 	 0.60 	 85.27 	 0 	 0 	 0 
	 1 	 98.47 	 3 	 8.18 	 1 	 1 	 0 	 -8.24 	 5.56 	 94.83 	 3 	 3 	 3 
	 1 	 114.02 	 5 	 10.00 	 1 	 0 	 0 	 9.83 	 1.28 	 94.23 	 3 	 3 	 3 
	 1 	 129.33 	 2 	 10.00 	 1 	 0 	 0 	 -10.32 	 1.88 	 102.63 	 3 	 3 	 3 
	 2 	 145.42 	 4 	 10.00 	 1 	 0 	 0 	 5.61 	 -0.87 	 60.61 	 3 	 0 	 3 
	 2 	 159.58 	 1 	 10.00 	 1 	 0 	 0 	 -8.94 	 -0.23 	 55.06 	 3 	 0 	 3 
	 2 	 172.47 	 3 	 8.28 	 1 	 1 	 0 	 -6.99 	 3.86 	 40.23 	 3 	 3 	 6 
	 2 	 184.23 	 5 	 6.51 	 1 	 1 	 0 	 6.21 	 -0.33 	 56.21 	 5 	 8 	 11 
	 2 	 200.77 	 2 	 10.00 	 1 	 0 	 0 	 -12.49 	 0.49 	 55.55 	 5 	 8 	 11 
