			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -3.06 	 3.05 	 14.88 	 -19.09 	 7.23 	 -10.88 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -9.54 	 5.23 	 12.88 	 5.23 	 -17.09 	 0.00 	 4.00 	 0.00 	 -2.00 	 -8.88 	 10.88 	 -8.88 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 69.36 	 4 	 10.00 	 1 	 1 	 0 	 9.81 	 11.13 	 271.38 	 0 	 0 	 0 
	 1 	 83.47 	 1 	 10.00 	 0 	 0 	 0 	 -15.06 	 -10.88 	 300.16 	 0 	 0 	 0 
	 1 	 97.58 	 3 	 10.00 	 1 	 0 	 0 	 -11.74 	 4.63 	 178.95 	 0 	 0 	 0 
	 1 	 112.88 	 5 	 10.00 	 1 	 0 	 0 	 5.16 	 3.02 	 105.61 	 0 	 0 	 0 
	 1 	 128.53 	 2 	 10.00 	 0 	 0 	 0 	 -9.35 	 -0.64 	 163.05 	 0 	 0 	 0 
	 2 	 144.05 	 4 	 10.00 	 1 	 0 	 0 	 14.92 	 7.46 	 139.01 	 0 	 0 	 0 
	 2 	 157.16 	 1 	 10.00 	 0 	 0 	 0 	 -18.82 	 -9.47 	 248.42 	 0 	 0 	 0 
	 2 	 170.39 	 3 	 10.00 	 1 	 0 	 0 	 -10.63 	 4.31 	 153.83 	 0 	 0 	 0 
	 2 	 183.67 	 5 	 10.00 	 1 	 0 	 0 	 9.32 	 2.18 	 134.51 	 0 	 0 	 0 
	 2 	 198.81 	 2 	 10.00 	 0 	 0 	 0 	 5.05 	 4.86 	 124.94 	 0 	 0 	 0 
