			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -0.35 	 5.48 	 12.87 	 -14.47 	 6.21 	 -10.90 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -7.23 	 3.21 	 9.87 	 3.21 	 -11.47 	 0.00 	 5.00 	 0.00 	 -3.00 	 -7.90 	 7.87 	 -7.90 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 73.61 	 4 	 10.00 	 1 	 0 	 0 	 7.90 	 -0.95 	 85.01 	 0 	 0 	 0 
	 1 	 87.86 	 1 	 10.00 	 0 	 0 	 0 	 -14.59 	 -2.91 	 115.50 	 0 	 0 	 0 
	 1 	 102.34 	 3 	 10.00 	 1 	 0 	 0 	 -13.69 	 1.17 	 122.74 	 0 	 0 	 0 
	 1 	 118.23 	 5 	 10.00 	 1 	 0 	 0 	 7.65 	 -1.91 	 113.74 	 0 	 0 	 0 
	 1 	 134.64 	 2 	 10.00 	 1 	 0 	 0 	 -2.85 	 -0.54 	 130.10 	 0 	 0 	 0 
	 2 	 149.22 	 4 	 10.00 	 1 	 0 	 0 	 15.94 	 -0.90 	 113.53 	 0 	 0 	 0 
	 2 	 163.92 	 1 	 10.00 	 1 	 0 	 0 	 -10.03 	 -2.26 	 131.75 	 0 	 0 	 0 
	 2 	 177.08 	 3 	 10.00 	 0 	 0 	 0 	 9.32 	 -6.77 	 145.01 	 0 	 0 	 0 
	 2 	 190.52 	 5 	 10.00 	 0 	 0 	 0 	 17.16 	 1.89 	 117.42 	 0 	 0 	 0 
	 2 	 206.53 	 2 	 10.00 	 0 	 0 	 0 	 -0.02 	 -7.41 	 122.12 	 0 	 0 	 0 
