			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 -2.63 	 4.14 	 10.97 	 -16.17 	 9.64 	 -12.77 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -8.08 	 7.64 	 8.97 	 7.64 	 -14.17 	 0.00 	 4.00 	 0.00 	 -2.00 	 -10.77 	 6.97 	 -10.77 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 222.31 	 4 	 10.00 	 1 	 0 	 0 	 6.94 	 4.47 	 177.91 	 0 	 0 	 0 
	 1 	 236.42 	 1 	 10.00 	 0 	 0 	 0 	 -0.56 	 10.12 	 102.90 	 0 	 0 	 0 
	 1 	 252.20 	 3 	 8.97 	 1 	 1 	 0 	 -7.43 	 4.50 	 81.86 	 3 	 3 	 3 
	 1 	 267.41 	 5 	 10.00 	 0 	 0 	 0 	 0.46 	 11.73 	 118.38 	 3 	 3 	 3 
	 1 	 285.56 	 2 	 10.00 	 1 	 0 	 0 	 -12.49 	 0.90 	 105.93 	 3 	 3 	 3 
	 2 	 300.44 	 4 	 10.00 	 0 	 0 	 0 	 -5.10 	 5.83 	 131.82 	 3 	 0 	 3 
	 2 	 315.06 	 1 	 10.00 	 1 	 0 	 0 	 -3.82 	 -7.27 	 206.79 	 3 	 0 	 3 
	 2 	 329.59 	 3 	 10.00 	 1 	 0 	 0 	 -2.62 	 1.87 	 135.31 	 3 	 0 	 3 
	 2 	 339.47 	 5 	 5.84 	 1 	 1 	 0 	 7.20 	 3.00 	 74.36 	 6 	 6 	 9 
	 2 	 353.52 	 2 	 8.54 	 1 	 1 	 0 	 -13.34 	 0.13 	 68.21 	 3 	 9 	 12 
