			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 46.92 	 4 	 10.00 	 1 	 0 	 0 	 6.84 	 -1.31 	 108.81 	 0 	 0 	 0 
	 1 	 61.09 	 1 	 10.00 	 0 	 1 	 0 	 -15.83 	 2.42 	 114.46 	 0 	 0 	 0 
	 1 	 75.34 	 3 	 10.00 	 0 	 0 	 0 	 -18.25 	 -3.12 	 123.71 	 0 	 0 	 0 
	 1 	 90.06 	 5 	 10.00 	 1 	 0 	 0 	 11.67 	 -2.32 	 106.58 	 0 	 0 	 0 
	 1 	 105.22 	 2 	 10.00 	 1 	 1 	 0 	 -15.27 	 -0.70 	 99.91 	 0 	 0 	 0 
	 2 	 120.78 	 2 	 10.00 	 1 	 1 	 1 	 -13.11 	 -1.03 	 90.24 	 0 	 0 	 0 
	 2 	 134.88 	 4 	 10.00 	 1 	 0 	 1 	 7.19 	 2.12 	 107.75 	 0 	 0 	 0 
	 2 	 149.47 	 5 	 10.00 	 1 	 0 	 1 	 8.50 	 -1.02 	 88.68 	 0 	 0 	 0 
	 2 	 163.83 	 3 	 10.00 	 0 	 0 	 1 	 -15.46 	 -2.35 	 121.05 	 0 	 0 	 0 
	 2 	 178.27 	 6 	 10.00 	 1 	 0 	 1 	 3.85 	 -1.25 	 116.06 	 0 	 0 	 0 
	 3 	 193.53 	 2 	 10.00 	 1 	 1 	 1 	 -13.73 	 0.08 	 123.35 	 0 	 0 	 0 
	 3 	 208.38 	 1 	 10.00 	 0 	 0 	 1 	 -18.74 	 -0.61 	 145.51 	 0 	 0 	 0 
	 3 	 222.52 	 4 	 10.00 	 1 	 0 	 1 	 11.25 	 0.53 	 133.56 	 0 	 0 	 0 
	 3 	 236.98 	 3 	 10.00 	 0 	 0 	 1 	 -16.97 	 -0.67 	 113.98 	 0 	 0 	 0 
	 3 	 251.39 	 5 	 10.00 	 1 	 0 	 1 	 12.22 	 -1.75 	 99.72 	 0 	 0 	 0 
	 4 	 266.52 	 4 	 10.00 	 1 	 0 	 0 	 11.42 	 1.50 	 138.69 	 0 	 0 	 0 
	 4 	 280.91 	 1 	 10.00 	 0 	 0 	 0 	 -13.18 	 -2.51 	 142.03 	 0 	 0 	 0 
	 4 	 294.23 	 3 	 10.00 	 0 	 0 	 0 	 -14.18 	 0.45 	 110.32 	 0 	 0 	 0 
	 4 	 305.17 	 5 	 10.00 	 1 	 0 	 0 	 7.64 	 -4.08 	 157.91 	 0 	 0 	 0 
	 4 	 315.67 	 2 	 10.00 	 1 	 1 	 0 	 -17.27 	 -3.11 	 108.34 	 0 	 0 	 0 
	 5 	 326.84 	 2 	 10.00 	 1 	 0 	 1 	 -16.45 	 -0.66 	 135.02 	 0 	 0 	 0 
	 5 	 337.58 	 1 	 10.00 	 1 	 0 	 1 	 -8.52 	 -5.01 	 108.78 	 0 	 0 	 0 
	 5 	 348.02 	 5 	 10.00 	 0 	 0 	 1 	 13.17 	 -2.44 	 86.93 	 0 	 0 	 0 
	 5 	 358.61 	 1 	 10.00 	 1 	 0 	 1 	 -6.73 	 -6.05 	 110.17 	 0 	 0 	 0 
	 5 	 369.23 	 3 	 10.00 	 1 	 0 	 1 	 -11.68 	 3.94 	 105.75 	 0 	 0 	 0 
	 6 	 380.80 	 4 	 10.00 	 1 	 0 	 0 	 11.52 	 0.39 	 111.97 	 0 	 0 	 0 
	 6 	 391.52 	 1 	 10.00 	 0 	 1 	 0 	 -14.94 	 -2.20 	 104.02 	 0 	 0 	 0 
	 6 	 402.09 	 3 	 10.00 	 1 	 0 	 0 	 -12.77 	 -0.27 	 146.56 	 0 	 0 	 0 
	 6 	 412.64 	 5 	 10.00 	 1 	 0 	 0 	 8.72 	 -3.34 	 89.14 	 0 	 0 	 0 
	 6 	 423.30 	 2 	 10.00 	 1 	 0 	 0 	 -15.65 	 -0.70 	 90.79 	 0 	 0 	 0 
	 7 	 434.38 	 4 	 10.00 	 1 	 0 	 1 	 11.33 	 2.50 	 92.43 	 0 	 0 	 0 
	 7 	 444.84 	 6 	 9.57 	 1 	 1 	 1 	 9.75 	 -5.08 	 85.08 	 1 	 1 	 1 
	 7 	 456.36 	 3 	 10.00 	 0 	 0 	 1 	 -14.66 	 -1.02 	 136.67 	 0 	 1 	 1 
	 7 	 467.14 	 1 	 10.00 	 0 	 1 	 1 	 -17.01 	 -1.05 	 120.69 	 0 	 1 	 1 
	 7 	 477.64 	 3 	 10.00 	 0 	 0 	 1 	 -18.32 	 1.51 	 115.21 	 0 	 1 	 1 
	 8 	 489.36 	 6 	 10.00 	 1 	 0 	 1 	 7.29 	 -5.11 	 155.87 	 0 	 0 	 1 
	 8 	 499.83 	 4 	 10.00 	 1 	 0 	 1 	 11.22 	 0.65 	 90.86 	 0 	 0 	 1 
	 8 	 510.38 	 3 	 10.00 	 1 	 0 	 1 	 -12.37 	 0.20 	 119.10 	 0 	 0 	 1 
	 8 	 520.94 	 5 	 10.00 	 1 	 0 	 1 	 11.80 	 -6.12 	 97.56 	 0 	 0 	 1 
	 8 	 531.50 	 2 	 10.00 	 1 	 0 	 1 	 -12.38 	 -1.85 	 98.14 	 0 	 0 	 1 
	 9 	 542.53 	 4 	 10.00 	 1 	 0 	 0 	 11.90 	 0.34 	 80.92 	 0 	 0 	 1 
	 9 	 553.16 	 1 	 10.00 	 0 	 0 	 0 	 -11.15 	 -5.30 	 103.83 	 0 	 0 	 1 
	 9 	 563.75 	 3 	 10.00 	 1 	 0 	 0 	 -12.38 	 -0.08 	 86.65 	 0 	 0 	 1 
	 9 	 574.14 	 5 	 10.00 	 1 	 0 	 0 	 11.97 	 -3.48 	 97.86 	 0 	 0 	 1 
	 9 	 584.64 	 2 	 10.00 	 1 	 0 	 0 	 -12.10 	 -5.15 	 103.58 	 0 	 0 	 1 
	 10 	 595.64 	 4 	 10.00 	 1 	 0 	 0 	 11.60 	 -2.08 	 94.30 	 0 	 0 	 1 
	 10 	 606.30 	 1 	 10.00 	 1 	 0 	 0 	 -9.90 	 -4.86 	 128.19 	 0 	 0 	 1 
	 10 	 616.89 	 3 	 10.00 	 0 	 1 	 0 	 -14.39 	 3.25 	 116.84 	 0 	 0 	 1 
	 10 	 627.45 	 5 	 10.00 	 1 	 0 	 0 	 12.14 	 -7.25 	 80.56 	 0 	 0 	 1 
	 10 	 637.95 	 2 	 10.00 	 1 	 0 	 0 	 -14.99 	 -3.50 	 96.44 	 0 	 0 	 1 
	 11 	 649.20 	 4 	 10.00 	 1 	 0 	 0 	 12.84 	 -0.46 	 91.76 	 0 	 0 	 1 
	 11 	 659.81 	 1 	 10.00 	 0 	 0 	 0 	 -11.22 	 -5.91 	 117.98 	 0 	 0 	 1 
	 11 	 670.63 	 3 	 10.00 	 1 	 0 	 0 	 -8.77 	 2.04 	 104.46 	 0 	 0 	 1 
	 11 	 681.30 	 5 	 10.00 	 1 	 0 	 0 	 12.06 	 -2.79 	 103.71 	 0 	 0 	 1 
	 11 	 691.86 	 2 	 10.00 	 1 	 0 	 0 	 -14.64 	 -0.70 	 116.72 	 0 	 0 	 1 
	 12 	 703.16 	 2 	 10.00 	 0 	 0 	 1 	 -17.69 	 -1.91 	 161.57 	 0 	 0 	 1 
	 12 	 713.69 	 5 	 10.00 	 1 	 0 	 1 	 8.24 	 -4.50 	 105.47 	 0 	 0 	 1 
	 12 	 724.36 	 3 	 10.00 	 1 	 0 	 1 	 -10.08 	 0.01 	 95.28 	 0 	 0 	 1 
	 12 	 734.95 	 4 	 10.00 	 1 	 0 	 1 	 9.84 	 1.10 	 95.86 	 0 	 0 	 1 
	 12 	 745.47 	 3 	 10.00 	 0 	 0 	 1 	 -17.70 	 0.56 	 85.76 	 0 	 0 	 1 
