			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 50.56 	 4 	 10.00 	 1 	 0 	 0 	 9.80 	 6.04 	 80.39 	 0 	 0 	 0 
	 1 	 67.00 	 1 	 10.00 	 1 	 0 	 0 	 -1.25 	 -2.36 	 120.80 	 0 	 0 	 0 
	 1 	 77.09 	 3 	 6.10 	 1 	 1 	 0 	 -6.11 	 6.34 	 62.78 	 4 	 4 	 4 
	 1 	 92.09 	 5 	 10.00 	 1 	 0 	 0 	 10.57 	 2.80 	 135.56 	 0 	 4 	 4 
	 1 	 108.77 	 2 	 10.00 	 1 	 0 	 0 	 -13.27 	 -1.27 	 70.15 	 0 	 4 	 4 
	 2 	 122.97 	 3 	 10.00 	 0 	 0 	 1 	 9.03 	 0.83 	 168.46 	 0 	 0 	 4 
	 2 	 137.53 	 5 	 10.00 	 0 	 0 	 1 	 -8.81 	 -1.56 	 153.09 	 0 	 0 	 4 
	 2 	 151.31 	 3 	 10.00 	 1 	 0 	 1 	 -5.61 	 1.91 	 151.70 	 0 	 0 	 4 
	 2 	 157.33 	 2 	 3.41 	 1 	 1 	 1 	 -9.25 	 -0.15 	 45.73 	 7 	 7 	 11 
	 2 	 173.47 	 6 	 10.00 	 1 	 0 	 1 	 10.31 	 -2.82 	 102.39 	 0 	 7 	 11 
	 3 	 188.44 	 4 	 10.00 	 1 	 0 	 1 	 8.92 	 4.65 	 133.30 	 0 	 0 	 11 
	 3 	 198.17 	 2 	 5.58 	 1 	 1 	 1 	 -11.10 	 -2.15 	 69.75 	 5 	 5 	 16 
	 3 	 209.58 	 5 	 6.89 	 1 	 1 	 1 	 5.23 	 0.24 	 95.15 	 4 	 9 	 20 
	 3 	 225.75 	 4 	 10.00 	 0 	 0 	 1 	 2.59 	 -4.33 	 63.47 	 0 	 9 	 20 
	 3 	 233.73 	 6 	 4.60 	 1 	 1 	 1 	 9.40 	 -3.39 	 42.83 	 6 	 15 	 26 
	 4 	 247.11 	 3 	 7.76 	 1 	 1 	 1 	 -5.07 	 5.65 	 89.18 	 3 	 3 	 29 
	 4 	 265.50 	 6 	 10.00 	 1 	 0 	 1 	 10.46 	 -4.24 	 65.86 	 0 	 3 	 29 
	 4 	 272.25 	 2 	 3.85 	 1 	 1 	 1 	 -11.74 	 -0.26 	 42.04 	 7 	 10 	 36 
	 4 	 287.78 	 4 	 10.00 	 1 	 0 	 1 	 4.41 	 0.10 	 81.07 	 0 	 10 	 36 
	 4 	 301.50 	 2 	 10.00 	 0 	 0 	 1 	 8.68 	 -0.41 	 164.84 	 0 	 10 	 36 
	 5 	 312.58 	 6 	 6.56 	 1 	 1 	 1 	 6.71 	 -4.17 	 82.81 	 4 	 4 	 40 
