			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 42.03 	 4 	 6.11 	 1 	 1 	 1 	 12.14 	 5.43 	 27.34 	 5 	 5 	 5 
	 1 	 57.53 	 6 	 10.00 	 1 	 0 	 1 	 6.48 	 -1.47 	 42.34 	 0 	 5 	 5 
	 1 	 72.98 	 5 	 10.00 	 1 	 1 	 1 	 11.07 	 3.59 	 41.08 	 0 	 5 	 5 
	 1 	 87.14 	 6 	 10.00 	 1 	 1 	 1 	 3.78 	 1.24 	 49.37 	 0 	 5 	 5 
	 1 	 101.42 	 2 	 10.00 	 1 	 0 	 1 	 -11.88 	 3.24 	 48.06 	 0 	 5 	 5 
	 2 	 114.73 	 4 	 6.86 	 1 	 1 	 0 	 10.26 	 7.12 	 42.61 	 5 	 5 	 10 
	 2 	 130.09 	 1 	 10.00 	 1 	 1 	 0 	 -5.37 	 0.31 	 45.85 	 0 	 5 	 10 
	 2 	 144.61 	 3 	 10.00 	 1 	 0 	 0 	 -12.81 	 0.01 	 39.73 	 0 	 5 	 10 
	 2 	 152.47 	 5 	 4.43 	 1 	 1 	 0 	 6.49 	 0.41 	 35.66 	 7 	 12 	 17 
	 2 	 168.69 	 2 	 10.00 	 1 	 0 	 0 	 -10.99 	 2.63 	 61.15 	 0 	 12 	 17 
	 3 	 183.59 	 3 	 10.00 	 1 	 0 	 1 	 -10.44 	 3.68 	 50.90 	 0 	 0 	 17 
	 3 	 198.47 	 5 	 10.00 	 1 	 0 	 1 	 4.85 	 0.19 	 58.91 	 0 	 0 	 17 
	 3 	 204.13 	 4 	 2.99 	 1 	 1 	 1 	 7.36 	 4.17 	 16.17 	 9 	 9 	 26 
	 3 	 219.84 	 3 	 10.00 	 1 	 1 	 1 	 -13.29 	 6.99 	 49.33 	 0 	 9 	 26 
	 3 	 227.84 	 2 	 4.76 	 1 	 1 	 1 	 -6.81 	 2.04 	 39.60 	 7 	 16 	 33 
	 4 	 237.72 	 4 	 4.97 	 1 	 1 	 1 	 9.99 	 6.34 	 18.13 	 7 	 7 	 40 
	 4 	 252.86 	 6 	 10.00 	 0 	 1 	 1 	 6.05 	 2.56 	 52.11 	 0 	 7 	 40 
	 4 	 258.45 	 2 	 3.04 	 1 	 1 	 1 	 -10.29 	 0.58 	 24.45 	 8 	 15 	 48 
	 4 	 274.52 	 5 	 10.00 	 0 	 0 	 1 	 13.94 	 1.26 	 57.78 	 0 	 15 	 48 
	 4 	 289.52 	 3 	 10.00 	 0 	 0 	 1 	 -15.55 	 5.50 	 58.35 	 0 	 15 	 48 
	 5 	 305.20 	 4 	 10.00 	 1 	 0 	 0 	 3.87 	 1.81 	 59.42 	 0 	 0 	 48 
	 5 	 318.14 	 1 	 10.00 	 1 	 1 	 0 	 -7.12 	 -1.54 	 45.08 	 0 	 0 	 48 
	 5 	 329.38 	 3 	 10.00 	 1 	 1 	 0 	 -9.82 	 3.19 	 54.05 	 0 	 0 	 48 
	 5 	 340.47 	 5 	 10.00 	 0 	 0 	 0 	 13.60 	 0.03 	 84.11 	 0 	 0 	 48 
	 5 	 351.34 	 2 	 10.00 	 1 	 1 	 0 	 -14.74 	 0.51 	 58.20 	 0 	 0 	 48 
