			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 39.16 	 4 	 4.65 	 1 	 1 	 1 	 9.97 	 3.56 	 29.94 	 7 	 7 	 7 
	 1 	 55.92 	 2 	 10.00 	 1 	 0 	 1 	 -9.33 	 -1.37 	 62.99 	 0 	 7 	 7 
	 1 	 63.61 	 5 	 4.19 	 1 	 1 	 1 	 5.64 	 0.53 	 44.91 	 7 	 14 	 14 
	 1 	 71.59 	 2 	 3.92 	 1 	 1 	 1 	 -9.67 	 -0.49 	 26.74 	 8 	 22 	 22 
	 1 	 86.94 	 6 	 10.00 	 1 	 0 	 1 	 10.62 	 1.28 	 56.46 	 0 	 22 	 22 
	 2 	 98.09 	 4 	 6.16 	 1 	 1 	 0 	 10.48 	 3.88 	 37.89 	 5 	 5 	 27 
	 2 	 108.88 	 1 	 5.42 	 1 	 1 	 0 	 -3.56 	 -3.87 	 32.72 	 6 	 11 	 33 
	 2 	 124.30 	 3 	 10.00 	 0 	 0 	 0 	 5.63 	 -1.54 	 50.79 	 0 	 11 	 33 
	 2 	 131.77 	 5 	 4.34 	 1 	 1 	 0 	 4.27 	 -1.48 	 44.31 	 7 	 18 	 40 
	 2 	 138.66 	 2 	 3.83 	 1 	 1 	 0 	 -8.53 	 0.71 	 23.36 	 8 	 26 	 48 
	 3 	 149.81 	 4 	 5.66 	 1 	 1 	 0 	 8.73 	 3.18 	 32.80 	 6 	 6 	 54 
	 3 	 158.22 	 1 	 5.01 	 1 	 1 	 0 	 -1.26 	 -4.19 	 41.50 	 6 	 12 	 60 
	 3 	 173.53 	 3 	 10.00 	 1 	 0 	 0 	 -11.48 	 2.04 	 75.42 	 0 	 12 	 60 
	 3 	 188.75 	 5 	 10.00 	 1 	 0 	 0 	 7.59 	 1.67 	 108.62 	 0 	 12 	 60 
	 3 	 194.70 	 2 	 3.07 	 1 	 1 	 0 	 -8.50 	 0.59 	 36.41 	 8 	 20 	 68 
	 4 	 204.75 	 4 	 4.64 	 1 	 1 	 0 	 7.31 	 6.31 	 28.33 	 7 	 7 	 75 
	 4 	 212.48 	 1 	 3.62 	 1 	 1 	 0 	 -1.61 	 -4.21 	 28.19 	 8 	 15 	 83 
	 4 	 227.66 	 3 	 10.00 	 1 	 0 	 0 	 -11.99 	 -0.36 	 66.76 	 0 	 15 	 83 
	 4 	 238.45 	 5 	 5.93 	 1 	 1 	 0 	 4.23 	 -1.46 	 58.34 	 6 	 21 	 89 
	 4 	 248.47 	 2 	 5.03 	 1 	 1 	 0 	 -9.75 	 -1.53 	 39.11 	 6 	 27 	 95 
	 5 	 259.36 	 4 	 5.22 	 1 	 1 	 0 	 8.37 	 4.26 	 26.94 	 6 	 6 	 101 
	 5 	 268.34 	 1 	 4.48 	 1 	 1 	 0 	 -2.48 	 -5.23 	 32.64 	 7 	 13 	 108 
	 5 	 283.80 	 3 	 10.00 	 1 	 0 	 0 	 -3.59 	 -0.52 	 42.29 	 0 	 13 	 108 
	 5 	 299.91 	 5 	 10.00 	 1 	 0 	 0 	 3.26 	 2.71 	 87.46 	 0 	 13 	 108 
	 5 	 307.59 	 2 	 4.30 	 1 	 1 	 0 	 -9.67 	 -0.74 	 34.07 	 7 	 20 	 115 
	 6 	 323.86 	 6 	 10.00 	 1 	 0 	 1 	 12.22 	 2.18 	 63.92 	 0 	 0 	 115 
	 6 	 338.59 	 5 	 10.00 	 1 	 0 	 1 	 12.33 	 0.60 	 72.51 	 0 	 0 	 115 
	 6 	 342.84 	 4 	 3.38 	 1 	 1 	 1 	 10.87 	 4.52 	 26.99 	 8 	 8 	 123 
	 6 	 354.67 	 3 	 10.00 	 0 	 0 	 1 	 -8.47 	 -3.04 	 62.42 	 0 	 8 	 123 
	 6 	 365.39 	 1 	 10.00 	 1 	 0 	 1 	 -5.85 	 -1.48 	 59.60 	 0 	 8 	 123 
	 7 	 376.89 	 4 	 10.00 	 1 	 0 	 1 	 13.31 	 3.87 	 53.14 	 0 	 0 	 123 
	 7 	 382.89 	 2 	 4.98 	 1 	 1 	 1 	 -9.13 	 0.35 	 50.94 	 7 	 7 	 130 
	 7 	 390.42 	 5 	 5.34 	 1 	 1 	 1 	 5.57 	 1.76 	 46.01 	 6 	 13 	 136 
	 7 	 395.63 	 4 	 3.41 	 1 	 1 	 1 	 11.05 	 3.42 	 17.29 	 8 	 21 	 144 
	 7 	 407.45 	 6 	 10.00 	 1 	 0 	 1 	 2.48 	 1.92 	 41.29 	 0 	 21 	 144 
