			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 55.80 	 3 	 10.00 	 1 	 0 	 1 	 -10.29 	 -1.31 	 77.33 	 0 	 0 	 0 
	 1 	 63.66 	 5 	 4.47 	 1 	 1 	 1 	 3.57 	 -1.72 	 29.46 	 7 	 7 	 7 
	 1 	 74.34 	 4 	 5.84 	 1 	 1 	 1 	 10.61 	 3.79 	 32.38 	 6 	 13 	 13 
	 1 	 89.72 	 6 	 10.00 	 0 	 0 	 1 	 -1.90 	 0.79 	 55.22 	 0 	 13 	 13 
	 1 	 103.89 	 3 	 10.00 	 1 	 0 	 1 	 1.26 	 -0.59 	 69.17 	 0 	 13 	 13 
	 2 	 117.36 	 4 	 8.37 	 1 	 1 	 0 	 11.12 	 4.31 	 53.96 	 3 	 3 	 16 
	 2 	 126.25 	 1 	 5.51 	 1 	 1 	 0 	 -2.12 	 -3.15 	 37.01 	 6 	 9 	 22 
	 2 	 141.63 	 3 	 10.00 	 1 	 0 	 0 	 -7.86 	 1.60 	 53.13 	 0 	 9 	 22 
	 2 	 149.47 	 5 	 4.18 	 1 	 1 	 0 	 4.63 	 0.71 	 35.70 	 7 	 16 	 29 
	 2 	 159.42 	 2 	 5.43 	 1 	 1 	 0 	 -8.15 	 -0.17 	 27.33 	 6 	 22 	 35 
