			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 46.50 	 4 	 10.00 	 1 	 0 	 0 	 1.60 	 0.18 	 44.28 	 0 	 0 	 0 
	 1 	 61.63 	 1 	 10.00 	 1 	 0 	 0 	 -0.32 	 -3.69 	 42.04 	 0 	 0 	 0 
	 1 	 75.95 	 3 	 10.00 	 1 	 0 	 0 	 -13.80 	 0.98 	 60.80 	 0 	 0 	 0 
	 1 	 91.66 	 5 	 10.00 	 1 	 0 	 0 	 5.50 	 2.51 	 118.97 	 0 	 0 	 0 
	 1 	 98.47 	 2 	 3.89 	 1 	 1 	 0 	 -10.39 	 -0.22 	 44.17 	 8 	 8 	 8 
	 2 	 114.27 	 4 	 10.00 	 0 	 0 	 1 	 -1.28 	 -3.08 	 99.86 	 0 	 0 	 8 
	 2 	 129.47 	 1 	 10.00 	 1 	 0 	 1 	 -3.39 	 -2.92 	 127.48 	 0 	 0 	 8 
	 2 	 144.31 	 5 	 10.00 	 1 	 1 	 1 	 8.20 	 -2.27 	 97.88 	 0 	 0 	 8 
	 2 	 158.72 	 1 	 10.00 	 1 	 0 	 1 	 0.60 	 -2.74 	 126.87 	 0 	 0 	 8 
	 2 	 172.98 	 6 	 10.00 	 1 	 0 	 1 	 11.33 	 0.07 	 123.03 	 0 	 0 	 8 
	 3 	 187.84 	 4 	 10.00 	 0 	 0 	 0 	 9.76 	 -4.01 	 95.03 	 0 	 0 	 8 
	 3 	 202.50 	 1 	 10.00 	 1 	 0 	 0 	 -2.01 	 -2.33 	 117.69 	 0 	 0 	 8 
	 3 	 216.73 	 3 	 10.00 	 1 	 0 	 0 	 0.01 	 0.24 	 82.51 	 0 	 0 	 8 
	 3 	 232.70 	 5 	 10.00 	 1 	 0 	 0 	 2.06 	 -1.08 	 130.40 	 0 	 0 	 8 
	 3 	 244.83 	 2 	 6.55 	 1 	 1 	 0 	 -8.94 	 1.58 	 54.14 	 5 	 5 	 13 
	 4 	 260.58 	 4 	 10.00 	 0 	 0 	 0 	 -0.32 	 0.05 	 133.98 	 0 	 0 	 13 
	 4 	 275.17 	 1 	 10.00 	 1 	 0 	 0 	 -1.98 	 -5.37 	 179.51 	 0 	 0 	 13 
	 4 	 288.50 	 3 	 10.00 	 0 	 0 	 0 	 9.19 	 -1.05 	 93.73 	 0 	 0 	 13 
	 4 	 300.63 	 5 	 7.02 	 1 	 1 	 0 	 2.93 	 -2.36 	 79.69 	 4 	 4 	 17 
	 4 	 312.50 	 2 	 6.36 	 1 	 1 	 0 	 -10.85 	 0.24 	 56.55 	 5 	 9 	 22 
	 5 	 324.84 	 4 	 10.00 	 1 	 1 	 0 	 10.08 	 3.75 	 127.42 	 0 	 0 	 22 
	 5 	 335.58 	 1 	 10.00 	 1 	 0 	 0 	 -4.21 	 -2.67 	 117.06 	 0 	 0 	 22 
	 5 	 346.30 	 3 	 10.00 	 0 	 0 	 0 	 13.11 	 -4.52 	 100.39 	 0 	 0 	 22 
	 5 	 356.81 	 5 	 9.33 	 1 	 1 	 0 	 5.88 	 -1.10 	 86.46 	 2 	 2 	 24 
	 5 	 369.16 	 2 	 10.00 	 1 	 0 	 0 	 -12.32 	 -1.62 	 115.69 	 0 	 2 	 24 
	 6 	 380.58 	 1 	 10.00 	 1 	 0 	 1 	 0.10 	 0.51 	 81.38 	 0 	 0 	 24 
	 6 	 391.39 	 4 	 10.00 	 1 	 0 	 1 	 12.22 	 -1.22 	 115.27 	 0 	 0 	 24 
	 6 	 401.77 	 6 	 9.23 	 1 	 1 	 1 	 7.82 	 -4.34 	 41.35 	 2 	 2 	 26 
	 6 	 408.34 	 2 	 4.50 	 1 	 1 	 1 	 -11.30 	 -1.55 	 53.26 	 7 	 9 	 33 
	 6 	 413.78 	 5 	 3.33 	 1 	 1 	 1 	 2.62 	 1.95 	 42.21 	 8 	 17 	 41 
	 7 	 425.91 	 4 	 10.00 	 0 	 0 	 0 	 0.24 	 -1.89 	 89.29 	 0 	 0 	 41 
	 7 	 434.81 	 1 	 7.38 	 1 	 1 	 0 	 -2.27 	 -3.27 	 52.36 	 4 	 4 	 45 
	 7 	 444.27 	 3 	 7.32 	 1 	 1 	 0 	 -5.62 	 3.34 	 68.91 	 4 	 8 	 49 
	 7 	 456.33 	 5 	 10.00 	 1 	 0 	 0 	 5.50 	 4.61 	 73.51 	 0 	 8 	 49 
	 7 	 467.41 	 2 	 10.00 	 0 	 0 	 0 	 4.72 	 1.76 	 99.13 	 0 	 8 	 49 
	 8 	 478.02 	 2 	 9.03 	 1 	 1 	 1 	 -8.56 	 -0.22 	 66.65 	 2 	 2 	 51 
	 8 	 489.88 	 4 	 10.00 	 1 	 0 	 1 	 11.64 	 -0.68 	 94.12 	 0 	 2 	 51 
	 8 	 500.83 	 6 	 10.00 	 1 	 0 	 1 	 9.32 	 -6.11 	 94.31 	 0 	 2 	 51 
	 8 	 505.70 	 5 	 3.71 	 1 	 1 	 1 	 6.94 	 -0.77 	 32.65 	 8 	 10 	 59 
	 8 	 513.34 	 2 	 5.44 	 1 	 1 	 1 	 -7.31 	 0.51 	 43.52 	 6 	 16 	 65 
	 9 	 525.81 	 1 	 10.00 	 1 	 0 	 1 	 -5.35 	 -1.34 	 108.29 	 0 	 0 	 65 
	 9 	 536.58 	 4 	 10.00 	 0 	 0 	 1 	 0.98 	 -1.82 	 83.73 	 0 	 0 	 65 
	 9 	 547.63 	 2 	 10.00 	 1 	 0 	 1 	 -9.98 	 0.33 	 102.42 	 0 	 0 	 65 
	 9 	 558.27 	 4 	 10.00 	 1 	 1 	 1 	 6.16 	 0.96 	 110.06 	 0 	 0 	 65 
	 9 	 563.30 	 5 	 3.85 	 1 	 1 	 1 	 4.71 	 -2.26 	 34.54 	 8 	 8 	 73 
	 10 	 575.58 	 4 	 10.00 	 1 	 1 	 0 	 10.58 	 2.59 	 89.71 	 0 	 0 	 73 
