			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 13, 2016 	  9:37:12.797 AM 	 1 	 9.61 	 1 	 1 	 1 	 -4.10 	 -3.63 	 81.38 	 1 	 1 	 1 
	 1 	 August 13, 2016 	  9:37:15.553 AM 	 4 	 2.64 	 1 	 1 	 1 	 6.80 	 4.02 	 32.13 	 8 	 9 	 9 
	 1 	 August 13, 2016 	  9:37:19.756 AM 	 2 	 4.14 	 1 	 1 	 1 	 -8.77 	 -0.66 	 46.98 	 6 	 15 	 15 
	 1 	 August 13, 2016 	  9:37:27.345 AM 	 3 	 7.56 	 1 	 1 	 1 	 -5.90 	 3.53 	 60.15 	 3 	 18 	 18 
	 1 	 August 13, 2016 	  9:37:34.764 AM 	 1 	 7.38 	 1 	 1 	 1 	 -4.82 	 -4.59 	 42.33 	 3 	 21 	 21 
	 2 	 August 13, 2016 	  9:37:38.456 AM 	 4 	 2.57 	 1 	 1 	 0 	 7.27 	 6.43 	 36.75 	 8 	 8 	 29 
	 2 	 August 13, 2016 	  9:37:44.145 AM 	 1 	 5.66 	 1 	 1 	 0 	 -3.77 	 -3.38 	 63.90 	 5 	 13 	 34 
	 2 	 August 13, 2016 	  9:37:49.379 AM 	 3 	 5.21 	 1 	 1 	 0 	 -7.10 	 3.03 	 40.08 	 5 	 18 	 39 
	 2 	 August 13, 2016 	  9:37:52.551 AM 	 5 	 3.13 	 1 	 1 	 0 	 7.10 	 1.57 	 35.60 	 7 	 25 	 46 
	 2 	 August 13, 2016 	  9:37:58.995 AM 	 2 	 6.38 	 1 	 1 	 0 	 -8.06 	 0.02 	 62.75 	 4 	 29 	 50 
	 3 	 August 13, 2016 	  9:38:04.051 AM 	 6 	 3.33 	 1 	 1 	 1 	 7.21 	 -4.19 	 36.46 	 7 	 7 	 57 
