			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 10, 2016 	  1:28:10.470 PM 	 6 	 4.94 	 1 	 1 	 1 	 8.93 	 -2.83 	 39.38 	 6 	 6 	 6 
	 1 	 August 10, 2016 	  1:28:10.470 PM 	 2 	 10.00 	 1 	 0 	 1 	 -14.45 	 0.46 	 106.86 	 0 	 6 	 6 
	 1 	 August 10, 2016 	  1:28:26.721 PM 	 5 	 6.09 	 1 	 1 	 1 	 4.95 	 1.47 	 55.60 	 4 	 10 	 10 
	 1 	 August 10, 2016 	  1:28:26.721 PM 	 4 	 10.00 	 1 	 0 	 1 	 0.18 	 -0.05 	 110.50 	 0 	 10 	 10 
	 1 	 August 10, 2016 	  1:28:26.721 PM 	 3 	 10.00 	 1 	 1 	 1 	 -10.76 	 2.76 	 110.01 	 0 	 10 	 10 
	 2 	 August 10, 2016 	  1:28:58.590 PM 	 6 	 9.97 	 1 	 1 	 1 	 7.89 	 -3.79 	 99.53 	 1 	 1 	 11 
	 2 	 August 10, 2016 	  1:29:05.828 PM 	 2 	 7.21 	 1 	 1 	 1 	 -10.77 	 3.33 	 66.92 	 3 	 4 	 14 
	 2 	 August 10, 2016 	  1:29:05.828 PM 	 1 	 10.00 	 1 	 1 	 1 	 -7.75 	 -4.07 	 77.43 	 0 	 4 	 14 
	 2 	 August 10, 2016 	  1:29:05.828 PM 	 2 	 10.00 	 1 	 0 	 1 	 -12.37 	 5.31 	 106.22 	 0 	 4 	 14 
	 2 	 August 10, 2016 	  1:29:28.901 PM 	 1 	 2.95 	 1 	 1 	 1 	 -1.29 	 -2.83 	 34.16 	 8 	 12 	 22 
	 3 	 August 10, 2016 	  1:29:28.901 PM 	 2 	 10.00 	 1 	 0 	 1 	 -4.29 	 -5.09 	 101.73 	 0 	 0 	 22 
	 3 	 August 10, 2016 	  1:29:28.901 PM 	 4 	 10.00 	 1 	 0 	 1 	 7.63 	 0.78 	 114.58 	 0 	 0 	 22 
	 3 	 August 10, 2016 	  1:29:28.901 PM 	 2 	 10.00 	 1 	 0 	 1 	 -13.46 	 1.83 	 92.70 	 0 	 0 	 22 
	 3 	 August 10, 2016 	  1:29:28.901 PM 	 4 	 10.00 	 1 	 0 	 1 	 7.51 	 -1.14 	 106.60 	 0 	 0 	 22 
	 3 	 August 10, 2016 	  1:29:28.901 PM 	 3 	 10.00 	 1 	 1 	 1 	 -4.22 	 -1.71 	 129.25 	 0 	 0 	 22 
