			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 17, 2016 	  1:53:38.883 PM 	 5 	 5.30 	 1 	 1 	 1 	 7.43 	 -2.29 	 42.54 	 5 	 5 	 5 
	 1 	 August 17, 2016 	  1:53:47.253 PM 	 1 	 8.23 	 1 	 1 	 1 	 -3.38 	 -2.81 	 65.25 	 2 	 7 	 7 
	 1 	 August 17, 2016 	  1:53:51.292 PM 	 6 	 3.99 	 1 	 1 	 1 	 8.38 	 -2.79 	 28.59 	 7 	 14 	 14 
	 1 	 August 17, 2016 	  1:53:56.645 PM 	 2 	 5.32 	 1 	 1 	 1 	 -7.05 	 -1.21 	 58.44 	 5 	 19 	 19 
	 1 	 August 17, 2016 	  1:54:02.261 PM 	 4 	 5.55 	 1 	 1 	 1 	 11.02 	 2.79 	 40.85 	 5 	 24 	 24 
	 2 	 August 17, 2016 	  1:54:02.261 PM 	 4 	 10.00 	 1 	 0 	 1 	 11.71 	 1.28 	 85.57 	 0 	 0 	 24 
	 2 	 August 17, 2016 	  1:54:02.261 PM 	 3 	 10.00 	 0 	 0 	 1 	 -17.76 	 5.10 	 98.23 	 0 	 0 	 24 
	 2 	 August 17, 2016 	  1:54:31.632 PM 	 6 	 7.02 	 1 	 1 	 1 	 8.79 	 -4.28 	 83.89 	 3 	 3 	 27 
	 2 	 August 17, 2016 	  1:54:34.631 PM 	 2 	 2.97 	 1 	 1 	 1 	 -7.96 	 -2.82 	 28.94 	 8 	 11 	 35 
	 2 	 August 17, 2016 	  1:54:34.631 PM 	 3 	 10.00 	 0 	 0 	 1 	 -18.07 	 2.45 	 94.99 	 0 	 11 	 35 
	 3 	 August 17, 2016 	  1:54:34.631 PM 	 4 	 10.00 	 0 	 0 	 0 	 12.26 	 -7.91 	 92.92 	 0 	 0 	 35 
	 3 	 August 17, 2016 	  1:55:02.712 PM 	 1 	 6.35 	 1 	 1 	 0 	 -1.34 	 -4.09 	 70.62 	 4 	 4 	 39 
	 3 	 August 17, 2016 	  1:55:02.712 PM 	 3 	 10.00 	 1 	 0 	 0 	 -12.82 	 3.38 	 109.69 	 0 	 4 	 39 
	 3 	 August 17, 2016 	  1:55:16.556 PM 	 5 	 3.77 	 1 	 1 	 0 	 6.24 	 -0.92 	 39.21 	 7 	 11 	 46 
	 3 	 August 17, 2016 	  1:55:19.833 PM 	 2 	 3.25 	 1 	 1 	 0 	 -9.91 	 -1.79 	 28.29 	 7 	 18 	 53 
	 4 	 August 17, 2016 	  1:55:25.200 PM 	 4 	 3.55 	 1 	 1 	 0 	 6.85 	 3.38 	 25.48 	 7 	 7 	 60 
	 4 	 August 17, 2016 	  1:55:29.242 PM 	 1 	 4.00 	 1 	 1 	 0 	 -2.62 	 -2.14 	 20.76 	 7 	 14 	 67 
	 4 	 August 17, 2016 	  1:55:29.242 PM 	 3 	 10.00 	 0 	 0 	 0 	 -14.65 	 -6.58 	 104.10 	 0 	 14 	 67 
	 4 	 August 17, 2016 	  1:55:29.242 PM 	 5 	 10.00 	 1 	 0 	 0 	 8.93 	 -1.85 	 93.39 	 0 	 14 	 67 
	 4 	 August 17, 2016 	  1:55:29.242 PM 	 2 	 10.00 	 1 	 0 	 0 	 -11.78 	 -7.39 	 90.32 	 0 	 14 	 67 
	 5 	 August 17, 2016 	  1:56:04.782 PM 	 3 	 3.47 	 1 	 1 	 1 	 -8.02 	 5.40 	 31.39 	 7 	 7 	 74 
	 5 	 August 17, 2016 	  1:56:04.782 PM 	 6 	 10.00 	 1 	 0 	 1 	 10.24 	 -4.54 	 78.50 	 0 	 7 	 74 
	 5 	 August 17, 2016 	  1:56:04.782 PM 	 2 	 10.00 	 1 	 0 	 1 	 -15.62 	 0.20 	 95.55 	 0 	 7 	 74 
	 5 	 August 17, 2016 	  1:56:04.782 PM 	 4 	 10.00 	 1 	 0 	 1 	 9.30 	 2.05 	 106.40 	 0 	 7 	 74 
	 5 	 August 17, 2016 	  1:56:04.782 PM 	 5 	 10.00 	 1 	 0 	 1 	 0.22 	 1.49 	 76.09 	 0 	 7 	 74 
	 6 	 August 17, 2016 	  1:56:56.363 PM 	 2 	 9.16 	 1 	 1 	 1 	 -9.46 	 -2.29 	 90.81 	 1 	 1 	 75 
	 6 	 August 17, 2016 	  1:56:56.363 PM 	 3 	 10.00 	 0 	 0 	 1 	 -4.93 	 -9.22 	 84.69 	 0 	 1 	 75 
	 6 	 August 17, 2016 	  1:57:10.702 PM 	 4 	 4.22 	 1 	 1 	 1 	 9.11 	 3.74 	 50.18 	 6 	 7 	 81 
	 6 	 August 17, 2016 	  1:57:14.003 PM 	 6 	 3.27 	 1 	 1 	 1 	 7.58 	 -2.58 	 17.49 	 7 	 14 	 88 
	 6 	 August 17, 2016 	  1:57:19.310 PM 	 5 	 5.28 	 1 	 1 	 1 	 6.35 	 -1.00 	 47.58 	 5 	 19 	 93 
	 7 	 August 17, 2016 	  1:57:29.950 PM 	 4 	 9.08 	 1 	 1 	 0 	 8.89 	 3.53 	 75.33 	 1 	 1 	 94 
	 7 	 August 17, 2016 	  1:57:38.707 PM 	 1 	 8.71 	 1 	 1 	 0 	 -4.46 	 -5.84 	 63.32 	 2 	 3 	 96 
	 7 	 August 17, 2016 	  1:57:38.707 PM 	 3 	 10.00 	 0 	 0 	 0 	 -16.48 	 -3.76 	 102.97 	 0 	 3 	 96 
	 7 	 August 17, 2016 	  1:57:53.865 PM 	 5 	 5.06 	 1 	 1 	 0 	 5.74 	 1.86 	 67.88 	 5 	 8 	 101 
	 7 	 August 17, 2016 	  1:57:53.865 PM 	 2 	 10.00 	 1 	 0 	 0 	 -15.16 	 -5.98 	 83.10 	 0 	 8 	 101 
	 8 	 August 17, 2016 	  1:58:09.501 PM 	 3 	 4.17 	 1 	 1 	 1 	 -7.72 	 3.97 	 35.80 	 6 	 6 	 107 
	 8 	 August 17, 2016 	  1:58:09.501 PM 	 5 	 10.00 	 1 	 0 	 1 	 5.13 	 -2.53 	 121.13 	 0 	 6 	 107 
	 8 	 August 17, 2016 	  1:58:09.501 PM 	 2 	 10.00 	 1 	 0 	 1 	 -15.71 	 -3.99 	 131.46 	 0 	 6 	 107 
	 8 	 August 17, 2016 	  1:58:34.182 PM 	 6 	 4.56 	 1 	 1 	 1 	 4.94 	 -3.69 	 57.78 	 6 	 12 	 113 
	 8 	 August 17, 2016 	  1:58:39.158 PM 	 1 	 4.94 	 1 	 1 	 1 	 -4.46 	 -3.99 	 35.69 	 6 	 18 	 119 
	 9 	 August 17, 2016 	  1:58:47.783 PM 	 4 	 7.07 	 1 	 1 	 0 	 9.85 	 4.68 	 38.59 	 3 	 3 	 122 
	 9 	 August 17, 2016 	  1:58:51.050 PM 	 1 	 3.24 	 1 	 1 	 0 	 -2.27 	 -3.40 	 29.08 	 7 	 10 	 129 
	 9 	 August 17, 2016 	  1:58:51.050 PM 	 3 	 10.00 	 1 	 0 	 0 	 0.78 	 -3.19 	 94.05 	 0 	 10 	 129 
	 9 	 August 17, 2016 	  1:59:05.752 PM 	 5 	 4.63 	 1 	 1 	 0 	 5.90 	 -1.25 	 47.99 	 6 	 16 	 135 
	 9 	 August 17, 2016 	  1:59:05.752 PM 	 2 	 10.00 	 1 	 0 	 0 	 -12.27 	 -2.84 	 85.60 	 0 	 16 	 135 
	 10 	 August 17, 2016 	  1:59:19.484 PM 	 1 	 2.17 	 1 	 1 	 1 	 -5.81 	 -2.66 	 11.33 	 8 	 8 	 143 
	 10 	 August 17, 2016 	  1:59:19.484 PM 	 5 	 10.00 	 0 	 0 	 1 	 -6.54 	 -4.23 	 79.43 	 0 	 8 	 143 
