			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 4.50 	 8.50 	 4.50 	 -8.50 	 0.00 	 5.50 	 0.00 	 -3.50 	 -4.50 	 6.50 	 -4.50 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 55.81 	 4 	 10.00 	 0 	 0 	 0 	 -0.61 	 -3.73 	 84.18 	 0 	 0 	 0 
	 1 	 70.61 	 1 	 10.00 	 1 	 0 	 0 	 -7.05 	 0.95 	 67.91 	 0 	 0 	 0 
	 1 	 86.16 	 3 	 10.00 	 1 	 0 	 0 	 -2.69 	 -1.87 	 51.53 	 0 	 0 	 0 
	 1 	 100.84 	 5 	 10.00 	 0 	 0 	 0 	 -3.51 	 0.64 	 58.66 	 0 	 0 	 0 
	 1 	 117.36 	 2 	 8.88 	 1 	 1 	 0 	 -7.92 	 0.87 	 44.04 	 2 	 2 	 2 
	 2 	 128.84 	 5 	 3.72 	 1 	 1 	 1 	 3.48 	 0.34 	 27.95 	 7 	 7 	 9 
	 2 	 144.14 	 4 	 10.00 	 1 	 0 	 1 	 1.51 	 -0.96 	 73.63 	 0 	 7 	 9 
	 2 	 150.78 	 5 	 3.46 	 1 	 1 	 1 	 4.14 	 1.52 	 27.23 	 7 	 14 	 16 
	 2 	 162.45 	 2 	 6.53 	 1 	 1 	 1 	 -8.30 	 1.82 	 43.54 	 4 	 18 	 20 
	 2 	 177.81 	 1 	 10.00 	 0 	 0 	 1 	 -10.71 	 -2.32 	 138.70 	 0 	 18 	 20 
	 3 	 185.36 	 5 	 3.83 	 1 	 1 	 1 	 5.22 	 1.07 	 28.23 	 7 	 7 	 27 
	 3 	 204.36 	 2 	 9.92 	 1 	 1 	 1 	 -7.96 	 1.24 	 57.83 	 1 	 8 	 28 
	 3 	 219.97 	 1 	 10.00 	 1 	 0 	 1 	 -0.70 	 -0.21 	 101.11 	 0 	 8 	 28 
	 3 	 225.13 	 2 	 2.91 	 1 	 1 	 1 	 -9.04 	 1.62 	 29.05 	 8 	 16 	 36 
	 3 	 238.83 	 4 	 7.17 	 1 	 1 	 1 	 7.77 	 4.15 	 56.23 	 3 	 19 	 39 
	 4 	 254.14 	 4 	 8.18 	 1 	 1 	 0 	 8.35 	 4.78 	 54.79 	 2 	 2 	 41 
	 4 	 268.19 	 1 	 10.00 	 0 	 0 	 0 	 10.83 	 -1.03 	 147.76 	 0 	 2 	 41 
	 4 	 275.42 	 3 	 4.50 	 1 	 1 	 0 	 -8.01 	 4.56 	 45.45 	 6 	 8 	 47 
	 4 	 291.33 	 5 	 10.00 	 1 	 0 	 0 	 -0.07 	 -0.92 	 82.15 	 0 	 8 	 47 
	 4 	 300.45 	 2 	 4.92 	 1 	 1 	 0 	 -9.01 	 1.73 	 50.55 	 6 	 14 	 53 
	 5 	 316.63 	 4 	 10.00 	 1 	 0 	 0 	 11.05 	 4.47 	 110.61 	 0 	 0 	 53 
	 5 	 327.58 	 1 	 10.00 	 1 	 0 	 0 	 -3.87 	 -7.09 	 122.51 	 0 	 0 	 53 
	 5 	 338.23 	 3 	 10.00 	 0 	 0 	 0 	 -4.50 	 -3.18 	 64.40 	 0 	 0 	 53 
	 5 	 348.97 	 5 	 10.00 	 1 	 1 	 0 	 5.77 	 -3.31 	 99.41 	 0 	 0 	 53 
	 5 	 359.77 	 2 	 10.00 	 1 	 0 	 0 	 -10.99 	 1.83 	 89.39 	 0 	 0 	 53 
	 6 	 365.08 	 5 	 3.87 	 1 	 1 	 1 	 4.36 	 1.49 	 28.83 	 7 	 7 	 60 
	 6 	 376.75 	 6 	 10.00 	 1 	 0 	 1 	 3.78 	 -2.55 	 94.89 	 0 	 7 	 60 
	 6 	 387.36 	 3 	 10.00 	 1 	 0 	 1 	 -4.23 	 4.11 	 88.35 	 0 	 7 	 60 
	 6 	 392.00 	 5 	 3.65 	 1 	 1 	 1 	 3.79 	 2.34 	 33.49 	 7 	 14 	 67 
	 6 	 400.31 	 3 	 6.38 	 1 	 1 	 1 	 -4.82 	 5.16 	 50.14 	 4 	 18 	 71 
	 7 	 411.80 	 2 	 9.35 	 1 	 1 	 1 	 -11.77 	 -1.75 	 67.52 	 1 	 1 	 72 
	 7 	 423.39 	 6 	 10.00 	 1 	 0 	 1 	 1.68 	 -4.35 	 100.39 	 0 	 1 	 72 
