			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 45.78 	 4 	 9.65 	 1 	 1 	 0 	 6.46 	 3.48 	 120.68 	 1 	 1 	 1 
	 1 	 61.44 	 1 	 10.00 	 1 	 1 	 0 	 2.52 	 1.93 	 117.49 	 0 	 1 	 1 
	 1 	 77.66 	 3 	 10.00 	 1 	 0 	 0 	 -6.83 	 -2.75 	 139.90 	 0 	 1 	 1 
	 1 	 93.14 	 5 	 10.00 	 1 	 0 	 0 	 12.25 	 -0.39 	 126.49 	 0 	 1 	 1 
	 1 	 108.67 	 2 	 10.00 	 1 	 0 	 0 	 -4.19 	 -0.65 	 114.39 	 0 	 1 	 1 
	 2 	 115.55 	 4 	 3.34 	 1 	 1 	 0 	 10.58 	 5.02 	 41.29 	 7 	 7 	 8 
	 2 	 124.36 	 1 	 4.02 	 1 	 1 	 0 	 0.21 	 -4.43 	 46.21 	 6 	 13 	 14 
	 2 	 138.16 	 3 	 7.64 	 1 	 1 	 0 	 -9.44 	 4.25 	 67.35 	 3 	 16 	 17 
	 2 	 155.05 	 5 	 10.00 	 1 	 0 	 0 	 6.51 	 -0.89 	 122.28 	 0 	 16 	 17 
	 2 	 171.14 	 2 	 9.16 	 1 	 1 	 0 	 -12.04 	 0.81 	 101.96 	 1 	 17 	 18 
	 3 	 178.81 	 6 	 3.27 	 1 	 1 	 1 	 7.00 	 -5.29 	 42.44 	 7 	 7 	 25 
	 3 	 189.63 	 2 	 5.89 	 1 	 1 	 1 	 -7.10 	 1.36 	 68.30 	 5 	 12 	 30 
	 3 	 197.63 	 4 	 3.62 	 1 	 1 	 1 	 8.02 	 5.80 	 53.51 	 7 	 19 	 37 
	 3 	 213.89 	 2 	 10.00 	 1 	 0 	 1 	 -4.50 	 1.14 	 92.35 	 0 	 19 	 37 
	 3 	 222.61 	 3 	 5.96 	 1 	 1 	 1 	 -4.57 	 5.42 	 70.40 	 5 	 24 	 42 
	 4 	 238.31 	 3 	 10.00 	 1 	 1 	 1 	 -1.68 	 7.48 	 68.09 	 0 	 0 	 42 
	 4 	 253.47 	 5 	 10.00 	 1 	 1 	 1 	 1.72 	 4.31 	 129.29 	 0 	 0 	 42 
	 4 	 267.64 	 4 	 10.00 	 0 	 0 	 1 	 -0.83 	 9.01 	 56.21 	 0 	 0 	 42 
	 4 	 280.95 	 6 	 7.64 	 1 	 1 	 1 	 10.29 	 -4.47 	 95.67 	 3 	 3 	 45 
	 4 	 296.05 	 1 	 10.00 	 0 	 0 	 1 	 -0.82 	 5.62 	 120.14 	 0 	 3 	 45 
	 5 	 301.78 	 4 	 3.23 	 1 	 1 	 0 	 7.70 	 4.59 	 30.44 	 7 	 7 	 52 
	 5 	 313.70 	 1 	 10.00 	 1 	 0 	 0 	 -1.11 	 0.25 	 89.05 	 0 	 7 	 52 
	 5 	 324.19 	 3 	 10.00 	 1 	 1 	 0 	 -14.16 	 3.07 	 95.07 	 0 	 7 	 52 
	 5 	 335.03 	 5 	 10.00 	 1 	 0 	 0 	 11.57 	 0.53 	 110.94 	 0 	 7 	 52 
	 5 	 345.81 	 2 	 10.00 	 1 	 0 	 0 	 -10.00 	 2.32 	 100.38 	 0 	 7 	 52 
