			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 47.19 	 6 	 4.05 	 1 	 1 	 1 	 7.83 	 -6.14 	 42.08 	 6 	 6 	 6 
	 1 	 62.78 	 4 	 10.00 	 1 	 0 	 1 	 11.59 	 3.02 	 97.93 	 0 	 6 	 6 
	 1 	 68.63 	 6 	 3.57 	 1 	 1 	 1 	 5.58 	 -4.02 	 44.69 	 7 	 13 	 13 
	 1 	 79.13 	 3 	 5.92 	 1 	 1 	 1 	 -4.14 	 4.99 	 68.83 	 5 	 18 	 18 
	 1 	 85.92 	 6 	 3.50 	 1 	 1 	 1 	 6.65 	 -7.19 	 32.54 	 7 	 25 	 25 
	 2 	 98.64 	 4 	 6.61 	 1 	 1 	 0 	 6.71 	 4.60 	 45.00 	 4 	 4 	 29 
	 2 	 114.42 	 1 	 10.00 	 1 	 0 	 0 	 -10.74 	 0.20 	 125.21 	 0 	 4 	 29 
	 2 	 128.86 	 3 	 8.97 	 1 	 1 	 0 	 -8.28 	 3.27 	 78.94 	 2 	 6 	 31 
	 2 	 136.58 	 5 	 3.74 	 1 	 1 	 0 	 4.36 	 0.33 	 41.69 	 7 	 13 	 38 
	 2 	 151.30 	 2 	 9.12 	 1 	 1 	 0 	 -11.75 	 1.92 	 70.07 	 1 	 14 	 39 
	 3 	 159.92 	 2 	 3.89 	 1 	 1 	 1 	 -10.71 	 1.82 	 33.25 	 7 	 7 	 46 
	 3 	 177.48 	 3 	 10.00 	 1 	 0 	 1 	 -5.36 	 2.91 	 82.03 	 0 	 7 	 46 
	 3 	 183.78 	 2 	 3.62 	 1 	 1 	 1 	 -11.60 	 -0.31 	 38.77 	 7 	 14 	 53 
	 3 	 192.81 	 3 	 4.41 	 1 	 1 	 1 	 -8.69 	 4.38 	 31.13 	 6 	 20 	 59 
	 3 	 210.41 	 2 	 10.00 	 1 	 0 	 1 	 -13.03 	 2.65 	 67.84 	 0 	 20 	 59 
	 4 	 218.23 	 1 	 3.89 	 1 	 1 	 1 	 -4.78 	 -3.97 	 36.72 	 7 	 7 	 66 
	 4 	 228.41 	 4 	 5.47 	 1 	 1 	 1 	 6.78 	 2.95 	 45.26 	 5 	 12 	 71 
	 4 	 242.36 	 1 	 7.17 	 1 	 1 	 1 	 -5.68 	 -3.11 	 68.25 	 3 	 15 	 74 
	 4 	 249.28 	 6 	 3.16 	 1 	 1 	 1 	 6.67 	 -3.86 	 22.12 	 7 	 22 	 81 
