			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 12, 2016 	  2:24:51.642 PM 	 4 	 7.47 	 1 	 1 	 1 	 10.31 	 4.67 	 121.00 	 3 	 3 	 3 
	 1 	 August 12, 2016 	  2:24:51.642 PM 	 1 	 10.00 	 0 	 0 	 1 	 -8.94 	 5.64 	 151.48 	 0 	 3 	 3 
	 1 	 August 12, 2016 	  2:25:07.233 PM 	 2 	 5.38 	 1 	 1 	 1 	 -8.70 	 2.88 	 55.80 	 5 	 8 	 8 
	 1 	 August 12, 2016 	  2:25:15.174 PM 	 4 	 7.91 	 1 	 1 	 1 	 11.06 	 4.96 	 120.75 	 3 	 11 	 11 
	 1 	 August 12, 2016 	  2:25:15.174 PM 	 5 	 10.00 	 1 	 0 	 1 	 5.30 	 -1.77 	 102.40 	 0 	 11 	 11 
	 2 	 August 12, 2016 	  2:25:51.574 PM 	 4 	 7.68 	 1 	 1 	 0 	 10.39 	 4.88 	 114.52 	 3 	 3 	 14 
	 2 	 August 12, 2016 	  2:25:51.574 PM 	 1 	 10.00 	 0 	 0 	 0 	 -12.48 	 -5.23 	 159.03 	 0 	 3 	 14 
	 2 	 August 12, 2016 	  2:25:51.574 PM 	 3 	 10.00 	 1 	 0 	 0 	 -1.89 	 5.68 	 145.52 	 0 	 3 	 14 
	 2 	 August 12, 2016 	  2:25:51.574 PM 	 5 	 10.00 	 1 	 0 	 0 	 0.82 	 -4.05 	 151.11 	 0 	 3 	 14 
	 2 	 August 12, 2016 	  2:26:25.732 PM 	 2 	 3.92 	 1 	 1 	 0 	 -12.52 	 1.22 	 37.05 	 7 	 10 	 21 
	 3 	 August 12, 2016 	  2:26:25.732 PM 	 4 	 10.00 	 1 	 0 	 0 	 10.47 	 1.57 	 123.16 	 0 	 0 	 21 
	 3 	 August 12, 2016 	  2:26:25.732 PM 	 1 	 10.00 	 1 	 0 	 0 	 -9.98 	 -0.59 	 121.95 	 0 	 0 	 21 
