			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 19, 2016 	  1:51:39.481 PM 	 4 	 6.37 	 1 	 1 	 0 	 10.59 	 4.39 	 70.16 	 4 	 4 	 4 
	 1 	 August 19, 2016 	  1:51:39.481 PM 	 1 	 10.00 	 1 	 0 	 0 	 -7.30 	 -5.34 	 121.65 	 0 	 4 	 4 
	 1 	 August 19, 2016 	  1:51:39.481 PM 	 3 	 10.00 	 1 	 0 	 0 	 -12.73 	 4.09 	 110.83 	 0 	 4 	 4 
	 1 	 August 19, 2016 	  1:51:39.481 PM 	 5 	 10.00 	 0 	 0 	 0 	 -14.79 	 -5.02 	 150.36 	 0 	 4 	 4 
	 1 	 August 19, 2016 	  1:51:39.481 PM 	 2 	 10.00 	 1 	 0 	 0 	 -16.11 	 -3.13 	 108.39 	 0 	 4 	 4 
	 2 	 August 19, 2016 	  1:52:24.776 PM 	 4 	 3.45 	 1 	 1 	 0 	 11.15 	 5.24 	 53.14 	 7 	 7 	 11 
	 2 	 August 19, 2016 	  1:52:24.776 PM 	 1 	 10.00 	 1 	 0 	 0 	 -9.53 	 -6.48 	 152.35 	 0 	 7 	 11 
	 2 	 August 19, 2016 	  1:52:24.776 PM 	 3 	 10.00 	 1 	 0 	 0 	 -12.82 	 2.84 	 158.31 	 0 	 7 	 11 
	 2 	 August 19, 2016 	  1:52:54.898 PM 	 5 	 9.96 	 1 	 1 	 0 	 6.43 	 0.92 	 140.26 	 1 	 8 	 12 
	 2 	 August 19, 2016 	  1:52:54.898 PM 	 2 	 10.00 	 1 	 0 	 0 	 -9.77 	 -4.31 	 135.04 	 0 	 8 	 12 
	 3 	 August 19, 2016 	  1:53:11.086 PM 	 4 	 4.44 	 1 	 1 	 0 	 10.02 	 3.25 	 54.61 	 6 	 6 	 18 
	 3 	 August 19, 2016 	  1:53:11.086 PM 	 1 	 10.00 	 1 	 0 	 0 	 -4.57 	 -5.45 	 136.48 	 0 	 6 	 18 
	 3 	 August 19, 2016 	  1:53:11.086 PM 	 3 	 10.00 	 1 	 0 	 0 	 -13.88 	 2.26 	 98.04 	 0 	 6 	 18 
	 3 	 August 19, 2016 	  1:53:11.086 PM 	 5 	 10.00 	 1 	 0 	 0 	 12.50 	 2.11 	 103.14 	 0 	 6 	 18 
	 3 	 August 19, 2016 	  1:53:11.086 PM 	 2 	 10.00 	 1 	 0 	 0 	 -13.27 	 -3.38 	 89.12 	 0 	 6 	 18 
	 4 	 August 19, 2016 	  1:53:11.086 PM 	 2 	 10.00 	 1 	 0 	 1 	 -11.73 	 -1.89 	 81.10 	 0 	 0 	 18 
	 4 	 August 19, 2016 	  1:53:11.086 PM 	 1 	 10.00 	 0 	 0 	 1 	 7.56 	 -8.26 	 105.45 	 0 	 0 	 18 
	 4 	 August 19, 2016 	  1:53:11.086 PM 	 2 	 10.00 	 1 	 0 	 1 	 -12.34 	 -1.09 	 111.40 	 0 	 0 	 18 
	 4 	 August 19, 2016 	  1:53:11.086 PM 	 1 	 10.00 	 0 	 0 	 1 	 -14.95 	 1.98 	 171.73 	 0 	 0 	 18 
	 4 	 August 19, 2016 	  1:53:11.086 PM 	 3 	 10.00 	 1 	 0 	 1 	 -13.37 	 -2.87 	 127.18 	 0 	 0 	 18 
	 5 	 August 19, 2016 	  1:54:54.343 PM 	 5 	 6.66 	 1 	 1 	 1 	 4.39 	 1.02 	 107.81 	 4 	 4 	 22 
	 5 	 August 19, 2016 	  1:54:58.635 PM 	 6 	 4.26 	 1 	 1 	 1 	 5.51 	 -7.32 	 35.99 	 6 	 10 	 28 
	 5 	 August 19, 2016 	  1:54:58.635 PM 	 2 	 10.00 	 1 	 0 	 1 	 -13.09 	 -0.89 	 191.68 	 0 	 10 	 28 
	 5 	 August 19, 2016 	  1:54:58.635 PM 	 5 	 10.00 	 1 	 0 	 1 	 9.95 	 -5.95 	 175.27 	 0 	 10 	 28 
	 5 	 August 19, 2016 	  1:54:58.635 PM 	 1 	 10.00 	 0 	 0 	 1 	 8.85 	 -4.33 	 138.67 	 0 	 10 	 28 
	 6 	 August 19, 2016 	  1:55:36.987 PM 	 4 	 6.60 	 1 	 1 	 0 	 9.34 	 4.13 	 76.67 	 4 	 4 	 32 
	 6 	 August 19, 2016 	  1:55:36.987 PM 	 1 	 10.00 	 1 	 0 	 0 	 -11.81 	 -0.87 	 140.67 	 0 	 4 	 32 
	 6 	 August 19, 2016 	  1:55:36.987 PM 	 3 	 10.00 	 0 	 1 	 0 	 -15.35 	 -0.53 	 126.03 	 0 	 4 	 32 
	 6 	 August 19, 2016 	  1:56:03.740 PM 	 5 	 6.64 	 1 	 1 	 0 	 7.40 	 -0.65 	 88.47 	 4 	 8 	 36 
	 6 	 August 19, 2016 	  1:56:03.740 PM 	 2 	 10.00 	 1 	 0 	 0 	 -12.89 	 0.18 	 176.56 	 0 	 8 	 36 
	 7 	 August 19, 2016 	  1:56:24.224 PM 	 4 	 8.65 	 1 	 1 	 0 	 6.31 	 6.39 	 95.57 	 2 	 2 	 38 
	 7 	 August 19, 2016 	  1:56:32.268 PM 	 1 	 8.02 	 1 	 1 	 0 	 -3.16 	 -5.51 	 100.16 	 2 	 4 	 40 
	 7 	 August 19, 2016 	  1:56:32.268 PM 	 3 	 10.00 	 1 	 0 	 0 	 -13.48 	 0.17 	 154.42 	 0 	 4 	 40 
	 7 	 August 19, 2016 	  1:56:32.268 PM 	 5 	 10.00 	 1 	 0 	 0 	 13.83 	 -3.96 	 112.36 	 0 	 4 	 40 
	 7 	 August 19, 2016 	  1:56:32.268 PM 	 2 	 10.00 	 0 	 0 	 0 	 5.11 	 -0.00 	 155.92 	 0 	 4 	 40 
	 8 	 August 19, 2016 	  1:56:32.268 PM 	 4 	 10.00 	 1 	 0 	 0 	 12.58 	 1.35 	 96.30 	 0 	 0 	 40 
	 8 	 August 19, 2016 	  1:57:21.871 PM 	 1 	 7.83 	 1 	 1 	 0 	 -5.47 	 -3.02 	 91.68 	 3 	 3 	 43 
	 8 	 August 19, 2016 	  1:57:21.871 PM 	 3 	 10.00 	 1 	 0 	 0 	 -12.76 	 5.79 	 112.47 	 0 	 3 	 43 
