			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 11, 2016 	  3:34:54.491 PM 	 6 	 7.24 	 1 	 1 	 1 	 7.83 	 -5.24 	 50.62 	 3 	 3 	 3 
	 1 	 August 11, 2016 	  3:35:03.638 PM 	 1 	 9.04 	 1 	 1 	 1 	 -4.42 	 -3.74 	 69.39 	 1 	 4 	 4 
	 1 	 August 11, 2016 	  3:35:11.905 PM 	 3 	 8.22 	 1 	 1 	 1 	 -5.65 	 3.15 	 78.68 	 2 	 6 	 6 
	 1 	 August 11, 2016 	  3:35:19.764 PM 	 4 	 7.83 	 1 	 1 	 1 	 7.91 	 4.17 	 56.75 	 3 	 9 	 9 
	 1 	 August 11, 2016 	  3:35:25.055 PM 	 2 	 5.26 	 1 	 1 	 1 	 -10.83 	 2.01 	 55.43 	 5 	 14 	 14 
	 2 	 August 11, 2016 	  3:35:25.055 PM 	 2 	 10.00 	 1 	 0 	 1 	 -12.13 	 2.35 	 126.59 	 0 	 0 	 14 
	 2 	 August 11, 2016 	  3:35:44.171 PM 	 4 	 7.82 	 1 	 1 	 1 	 8.73 	 5.29 	 75.57 	 3 	 3 	 17 
	 2 	 August 11, 2016 	  3:35:50.769 PM 	 6 	 6.57 	 1 	 1 	 1 	 4.69 	 -5.35 	 60.32 	 4 	 7 	 21 
	 2 	 August 11, 2016 	  3:35:57.720 PM 	 2 	 6.92 	 1 	 1 	 1 	 -10.29 	 0.66 	 61.17 	 4 	 11 	 25 
	 2 	 August 11, 2016 	  3:36:04.045 PM 	 6 	 6.29 	 1 	 1 	 1 	 3.78 	 -5.17 	 40.76 	 4 	 15 	 29 
	 3 	 August 11, 2016 	  3:36:12.414 PM 	 4 	 6.61 	 1 	 1 	 0 	 8.75 	 3.55 	 64.29 	 4 	 4 	 33 
	 3 	 August 11, 2016 	  3:36:16.725 PM 	 1 	 4.29 	 1 	 1 	 0 	 -3.69 	 -2.97 	 55.87 	 6 	 10 	 39 
	 3 	 August 11, 2016 	  3:36:20.474 PM 	 3 	 3.72 	 1 	 1 	 0 	 -7.49 	 5.38 	 47.50 	 7 	 17 	 46 
	 3 	 August 11, 2016 	  3:36:24.110 PM 	 5 	 3.61 	 1 	 1 	 0 	 7.76 	 0.46 	 34.22 	 7 	 24 	 53 
	 3 	 August 11, 2016 	  3:36:27.576 PM 	 2 	 3.44 	 1 	 1 	 0 	 -10.48 	 0.23 	 38.23 	 7 	 31 	 60 
	 4 	 August 11, 2016 	  3:36:27.576 PM 	 1 	 10.00 	 1 	 0 	 1 	 -2.79 	 -1.61 	 110.46 	 0 	 0 	 60 
	 4 	 August 11, 2016 	  3:36:42.657 PM 	 2 	 3.90 	 1 	 1 	 1 	 -8.63 	 -0.14 	 30.80 	 7 	 7 	 67 
	 4 	 August 11, 2016 	  3:36:46.747 PM 	 4 	 4.06 	 1 	 1 	 1 	 9.26 	 3.77 	 44.89 	 6 	 13 	 73 
	 4 	 August 11, 2016 	  3:36:52.529 PM 	 3 	 5.75 	 1 	 1 	 1 	 -8.03 	 2.98 	 63.15 	 5 	 18 	 78 
	 4 	 August 11, 2016 	  3:37:01.554 PM 	 4 	 9.00 	 1 	 1 	 1 	 9.35 	 5.83 	 66.24 	 2 	 20 	 80 
	 5 	 August 11, 2016 	  3:37:07.846 PM 	 4 	 4.06 	 1 	 1 	 0 	 9.17 	 3.78 	 37.72 	 6 	 6 	 86 
	 5 	 August 11, 2016 	  3:37:12.104 PM 	 1 	 4.23 	 1 	 1 	 0 	 -5.00 	 -2.86 	 40.72 	 6 	 12 	 92 
	 5 	 August 11, 2016 	  3:37:17.079 PM 	 3 	 4.95 	 1 	 1 	 0 	 -5.88 	 3.65 	 51.76 	 6 	 18 	 98 
	 5 	 August 11, 2016 	  3:37:20.177 PM 	 5 	 3.07 	 1 	 1 	 0 	 6.17 	 1.07 	 33.83 	 7 	 25 	 105 
	 5 	 August 11, 2016 	  3:37:23.907 PM 	 2 	 3.70 	 1 	 1 	 0 	 -11.20 	 1.73 	 41.36 	 7 	 32 	 112 
