			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 August 11, 2016 	  3:39:20.150 PM 	 3 	 4.91 	 1 	 1 	 1 	 -4.82 	 3.93 	 44.41 	 6 	 6 	 6 
	 1 	 August 11, 2016 	  3:39:22.587 PM 	 2 	 2.33 	 1 	 1 	 1 	 -9.14 	 -0.02 	 14.61 	 8 	 14 	 14 
	 1 	 August 11, 2016 	  3:39:24.842 PM 	 3 	 2.21 	 1 	 1 	 1 	 -6.47 	 4.90 	 18.64 	 8 	 22 	 22 
	 1 	 August 11, 2016 	  3:39:27.938 PM 	 6 	 3.07 	 1 	 1 	 1 	 4.45 	 -4.59 	 32.96 	 7 	 29 	 29 
	 1 	 August 11, 2016 	  3:39:33.015 PM 	 3 	 5.01 	 1 	 1 	 1 	 -7.24 	 3.32 	 61.91 	 5 	 34 	 34 
	 2 	 August 11, 2016 	  3:39:40.314 PM 	 6 	 5.67 	 1 	 1 	 1 	 5.24 	 -5.75 	 38.16 	 5 	 5 	 39 
	 2 	 August 11, 2016 	  3:39:43.124 PM 	 2 	 2.78 	 1 	 1 	 1 	 -10.04 	 -1.32 	 26.41 	 8 	 13 	 47 
	 2 	 August 11, 2016 	  3:39:43.124 PM 	 5 	 10.00 	 1 	 0 	 1 	 8.56 	 -0.77 	 90.68 	 0 	 13 	 47 
	 2 	 August 11, 2016 	  3:39:43.124 PM 	 1 	 10.00 	 1 	 0 	 1 	 -10.17 	 -3.27 	 134.19 	 0 	 13 	 47 
	 2 	 August 11, 2016 	  3:40:06.710 PM 	 3 	 3.44 	 1 	 1 	 1 	 -4.68 	 5.36 	 37.31 	 7 	 20 	 54 
	 3 	 August 11, 2016 	  3:40:10.677 PM 	 4 	 2.97 	 1 	 1 	 0 	 6.31 	 3.13 	 24.05 	 8 	 8 	 62 
	 3 	 August 11, 2016 	  3:40:10.677 PM 	 1 	 10.00 	 1 	 1 	 0 	 -6.14 	 -2.10 	 132.40 	 0 	 8 	 62 
	 3 	 August 11, 2016 	  3:40:25.515 PM 	 3 	 4.77 	 1 	 1 	 0 	 -4.93 	 4.83 	 80.88 	 6 	 14 	 68 
	 3 	 August 11, 2016 	  3:40:28.001 PM 	 5 	 2.46 	 1 	 1 	 0 	 5.23 	 -0.24 	 23.67 	 8 	 22 	 76 
	 3 	 August 11, 2016 	  3:40:30.515 PM 	 2 	 2.49 	 1 	 1 	 0 	 -8.47 	 -0.50 	 21.33 	 8 	 30 	 84 
	 4 	 August 11, 2016 	  3:40:34.796 PM 	 4 	 3.22 	 1 	 1 	 0 	 8.35 	 2.42 	 31.29 	 7 	 7 	 91 
	 4 	 August 11, 2016 	  3:40:34.796 PM 	 1 	 10.00 	 1 	 0 	 0 	 -4.87 	 -1.24 	 105.23 	 0 	 7 	 91 
	 4 	 August 11, 2016 	  3:40:52.125 PM 	 3 	 7.24 	 1 	 1 	 0 	 -4.85 	 3.93 	 59.92 	 3 	 10 	 94 
	 4 	 August 11, 2016 	  3:40:54.940 PM 	 5 	 2.79 	 1 	 1 	 0 	 6.25 	 0.75 	 22.49 	 8 	 18 	 102 
	 4 	 August 11, 2016 	  3:40:58.471 PM 	 2 	 3.50 	 1 	 1 	 0 	 -8.24 	 1.12 	 38.60 	 7 	 25 	 109 
	 5 	 August 11, 2016 	  3:40:58.471 PM 	 4 	 10.00 	 1 	 0 	 0 	 2.85 	 0.91 	 85.17 	 0 	 0 	 109 
	 5 	 August 11, 2016 	  3:40:58.471 PM 	 1 	 10.00 	 1 	 0 	 0 	 -5.95 	 -4.06 	 97.62 	 0 	 0 	 109 
	 5 	 August 11, 2016 	  3:41:26.015 PM 	 3 	 6.43 	 1 	 1 	 0 	 -5.72 	 3.00 	 64.61 	 4 	 4 	 113 
	 5 	 August 11, 2016 	  3:41:29.707 PM 	 5 	 3.65 	 1 	 1 	 0 	 7.40 	 0.84 	 32.42 	 7 	 11 	 120 
	 5 	 August 11, 2016 	  3:41:32.877 PM 	 2 	 3.14 	 1 	 1 	 0 	 -9.70 	 -0.46 	 29.80 	 7 	 18 	 127 
