			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 61.89 	 6 	 10.00 	 1 	 1 	 1 	 8.41 	 -2.08 	 77.00 	 0 	 0 	 0 
	 1 	 76.11 	 5 	 10.00 	 0 	 0 	 1 	 6.75 	 8.32 	 152.19 	 0 	 0 	 0 
	 1 	 87.77 	 6 	 6.42 	 1 	 1 	 1 	 5.38 	 -5.23 	 74.62 	 4 	 4 	 4 
	 1 	 103.83 	 1 	 10.00 	 1 	 0 	 1 	 -8.84 	 -4.84 	 91.22 	 0 	 4 	 4 
	 1 	 118.38 	 4 	 10.00 	 1 	 0 	 1 	 4.42 	 6.55 	 117.87 	 0 	 4 	 4 
	 2 	 138.69 	 4 	 10.00 	 1 	 0 	 1 	 7.38 	 2.85 	 60.56 	 0 	 0 	 4 
	 2 	 153.06 	 3 	 10.00 	 1 	 0 	 1 	 -12.59 	 7.36 	 82.74 	 0 	 0 	 4 
	 2 	 162.44 	 5 	 5.03 	 1 	 1 	 1 	 4.08 	 -0.52 	 57.02 	 5 	 5 	 9 
	 2 	 173.19 	 2 	 5.16 	 1 	 1 	 1 	 -9.11 	 0.68 	 32.69 	 5 	 10 	 14 
	 2 	 187.81 	 6 	 7.10 	 1 	 1 	 1 	 5.18 	 -3.16 	 44.30 	 3 	 13 	 17 
	 3 	 204.59 	 4 	 10.00 	 1 	 0 	 1 	 4.20 	 3.90 	 126.52 	 0 	 0 	 17 
	 3 	 219.55 	 3 	 9.74 	 1 	 1 	 1 	 -3.55 	 7.03 	 124.69 	 1 	 1 	 18 
	 3 	 240.59 	 4 	 10.00 	 1 	 0 	 1 	 9.01 	 4.71 	 60.85 	 0 	 1 	 18 
	 3 	 255.73 	 1 	 9.35 	 1 	 1 	 1 	 -2.94 	 -4.60 	 96.30 	 1 	 2 	 19 
	 3 	 270.14 	 5 	 10.00 	 1 	 0 	 1 	 12.29 	 0.90 	 102.26 	 0 	 2 	 19 
	 4 	 289.13 	 1 	 10.00 	 1 	 1 	 1 	 -1.33 	 -3.59 	 137.55 	 0 	 0 	 19 
	 4 	 304.77 	 6 	 10.00 	 1 	 0 	 1 	 8.73 	 -5.59 	 93.20 	 0 	 0 	 19 
	 4 	 312.06 	 2 	 3.85 	 1 	 1 	 1 	 -8.26 	 -0.62 	 41.27 	 7 	 7 	 26 
	 4 	 327.41 	 4 	 10.00 	 1 	 0 	 1 	 9.32 	 2.88 	 67.48 	 0 	 7 	 26 
	 4 	 332.73 	 5 	 4.44 	 1 	 1 	 1 	 5.02 	 -0.06 	 36.75 	 6 	 13 	 32 
	 5 	 347.64 	 4 	 10.00 	 1 	 0 	 0 	 9.34 	 4.02 	 66.96 	 0 	 0 	 32 
	 5 	 358.23 	 1 	 10.00 	 1 	 0 	 0 	 -6.67 	 -7.24 	 92.87 	 0 	 0 	 32 
	 5 	 362.77 	 3 	 3.64 	 1 	 1 	 0 	 -5.62 	 5.84 	 25.06 	 7 	 7 	 39 
	 5 	 370.08 	 5 	 5.34 	 1 	 1 	 0 	 4.21 	 1.29 	 45.76 	 5 	 12 	 44 
	 5 	 375.55 	 2 	 3.44 	 1 	 1 	 0 	 -9.66 	 -1.17 	 32.43 	 7 	 19 	 51 
	 6 	 388.50 	 4 	 10.00 	 0 	 0 	 0 	 0.09 	 -0.16 	 70.00 	 0 	 0 	 51 
	 6 	 399.19 	 1 	 10.00 	 1 	 0 	 0 	 -5.80 	 -4.35 	 87.76 	 0 	 0 	 51 
	 6 	 409.88 	 3 	 10.00 	 1 	 0 	 0 	 1.35 	 7.81 	 110.00 	 0 	 0 	 51 
	 6 	 420.38 	 5 	 10.00 	 1 	 0 	 0 	 9.40 	 -5.81 	 131.66 	 0 	 0 	 51 
	 6 	 430.89 	 2 	 10.00 	 1 	 0 	 0 	 -17.03 	 5.95 	 131.39 	 0 	 0 	 51 
	 7 	 442.63 	 4 	 10.00 	 1 	 0 	 0 	 4.98 	 1.91 	 54.92 	 0 	 0 	 51 
	 7 	 453.59 	 1 	 10.00 	 1 	 0 	 0 	 -4.53 	 -2.99 	 99.93 	 0 	 0 	 51 
	 7 	 458.56 	 3 	 4.23 	 1 	 1 	 0 	 -5.93 	 7.34 	 28.57 	 6 	 6 	 57 
	 7 	 467.56 	 5 	 7.04 	 1 	 1 	 0 	 3.11 	 2.58 	 59.50 	 3 	 9 	 60 
	 7 	 479.42 	 2 	 10.00 	 1 	 1 	 0 	 -11.41 	 -2.68 	 59.75 	 0 	 9 	 60 
	 8 	 484.67 	 4 	 3.85 	 1 	 1 	 0 	 8.33 	 4.01 	 40.94 	 7 	 7 	 67 
	 8 	 496.52 	 1 	 10.00 	 1 	 0 	 0 	 0.10 	 -3.43 	 112.20 	 0 	 7 	 67 
	 8 	 507.28 	 3 	 10.00 	 1 	 1 	 0 	 -5.13 	 4.69 	 63.71 	 0 	 7 	 67 
	 8 	 517.91 	 5 	 10.00 	 0 	 0 	 0 	 -5.11 	 8.12 	 113.44 	 0 	 7 	 67 
	 8 	 528.55 	 2 	 10.00 	 0 	 0 	 0 	 -8.04 	 8.66 	 115.97 	 0 	 7 	 67 
	 9 	 539.91 	 4 	 10.00 	 1 	 0 	 1 	 13.24 	 -1.89 	 76.61 	 0 	 0 	 67 
	 9 	 547.36 	 3 	 6.03 	 1 	 1 	 1 	 -7.28 	 4.90 	 62.80 	 4 	 4 	 71 
	 9 	 557.02 	 5 	 7.52 	 1 	 1 	 1 	 3.41 	 1.64 	 64.06 	 3 	 7 	 74 
	 9 	 567.05 	 4 	 7.43 	 1 	 1 	 1 	 9.88 	 4.65 	 37.91 	 3 	 10 	 77 
	 9 	 578.70 	 5 	 10.00 	 1 	 0 	 1 	 2.75 	 0.06 	 116.63 	 0 	 10 	 77 
	 10 	 582.84 	 4 	 2.93 	 1 	 1 	 0 	 7.70 	 4.90 	 44.29 	 8 	 8 	 85 
	 10 	 590.30 	 1 	 5.41 	 1 	 1 	 0 	 -3.93 	 -3.48 	 65.17 	 5 	 13 	 90 
	 10 	 602.08 	 3 	 10.00 	 1 	 1 	 0 	 -9.92 	 9.88 	 72.19 	 0 	 13 	 90 
	 10 	 613.20 	 5 	 10.00 	 1 	 0 	 0 	 5.99 	 -0.59 	 97.84 	 0 	 13 	 90 
	 10 	 623.95 	 2 	 10.00 	 0 	 0 	 0 	 -16.11 	 8.46 	 111.09 	 0 	 13 	 90 
