			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 

	 1 	 53.55 	 2 	 10.00 	 1 	 0 	 1 	 -9.75 	 0.53 	 78.34 	 0 	 0 	 0 
	 1 	 67.94 	 6 	 10.00 	 1 	 0 	 1 	 11.63 	 1.46 	 131.05 	 0 	 0 	 0 
	 1 	 73.52 	 3 	 2.98 	 1 	 1 	 1 	 -5.08 	 5.36 	 36.82 	 8 	 8 	 8 
	 1 	 88.77 	 6 	 10.00 	 1 	 0 	 1 	 12.55 	 0.44 	 112.62 	 0 	 8 	 8 
	 1 	 102.95 	 2 	 10.00 	 1 	 0 	 1 	 -14.14 	 0.75 	 165.25 	 0 	 8 	 8 
	 2 	 114.91 	 4 	 4.54 	 1 	 1 	 0 	 10.36 	 5.63 	 40.03 	 6 	 6 	 14 
	 2 	 130.44 	 1 	 10.00 	 1 	 0 	 0 	 -8.92 	 -1.57 	 202.79 	 0 	 6 	 14 
	 2 	 143.67 	 3 	 7.12 	 1 	 1 	 0 	 -5.61 	 5.60 	 69.71 	 3 	 9 	 17 
	 2 	 159.59 	 5 	 10.00 	 0 	 0 	 0 	 -4.85 	 3.98 	 104.35 	 0 	 9 	 17 
	 2 	 176.33 	 2 	 10.00 	 1 	 0 	 0 	 -7.08 	 -0.78 	 89.95 	 0 	 9 	 17 
	 3 	 191.52 	 6 	 10.00 	 1 	 0 	 1 	 14.46 	 -3.36 	 93.93 	 0 	 0 	 17 
	 3 	 206.05 	 2 	 10.00 	 1 	 0 	 1 	 -4.52 	 2.09 	 165.65 	 0 	 0 	 17 
	 3 	 221.45 	 5 	 10.00 	 1 	 0 	 1 	 7.13 	 1.71 	 82.71 	 0 	 0 	 17 
	 3 	 235.73 	 6 	 10.00 	 0 	 0 	 1 	 -5.29 	 0.73 	 111.76 	 0 	 0 	 17 
	 3 	 242.83 	 3 	 3.62 	 1 	 1 	 1 	 -7.55 	 5.77 	 56.24 	 7 	 7 	 24 
	 4 	 254.34 	 4 	 5.81 	 1 	 1 	 0 	 10.18 	 4.87 	 48.56 	 5 	 5 	 29 
	 4 	 269.80 	 1 	 10.00 	 1 	 0 	 0 	 -7.07 	 -9.90 	 128.61 	 0 	 5 	 29 
	 4 	 275.14 	 3 	 2.66 	 1 	 1 	 0 	 -6.49 	 6.50 	 33.01 	 8 	 13 	 37 
	 4 	 292.09 	 5 	 10.00 	 1 	 0 	 0 	 2.97 	 1.04 	 111.17 	 0 	 13 	 37 
	 4 	 306.53 	 2 	 10.00 	 1 	 0 	 0 	 -16.60 	 -2.85 	 121.56 	 0 	 13 	 37 
	 5 	 314.64 	 4 	 4.19 	 1 	 1 	 1 	 10.69 	 3.15 	 35.33 	 6 	 6 	 43 
	 5 	 328.73 	 6 	 10.00 	 0 	 0 	 1 	 16.57 	 -4.68 	 106.30 	 0 	 6 	 43 
